,Word,Arousal_mean,Valence_mean,Dominance_mean,Concreteness_mean,Imageability_mean,Size_mean,Gender_mean,Arousal_by_runs,Valence_by_runs,Dominance_by_runs,Concreteness_by_runs,Imageability_by_runs,Size_by_runs,Gender_by_runs
1102,inane,3.25,2.25,1.75,1.75,3.0,2.0,3.75,"[2, 2, 2, 7]","[2, 3, 2, 2]","[2, 2, 2, 1]","[1, 2, 2, 2]","[4, 3, 2, 3]","[2, 2, 2, 2]","[3, 4, 4, 4]"
1103,tale,4.25,6.25,4.75,4.5,5.25,3.0,4.0,"[4, 4, 4, 5]","[7, 6, 6, 6]","[4, 5, 5, 5]","[4, 5, 4, 5]","[6, 5, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
1104,main,3.25,5.5,5.75,4.25,4.75,3.75,4.75,"[2, 4, 3, 4]","[5, 6, 6, 5]","[5, 7, 5, 6]","[4, 5, 4, 4]","[5, 5, 4, 5]","[4, 4, 3, 4]","[4, 5, 5, 5]"
1105,quiescent,2.5,4.25,3.0,2.5,3.25,2.75,3.75,"[2, 3, 2, 3]","[4, 4, 5, 4]","[4, 3, 3, 2]","[2, 2, 3, 3]","[4, 4, 2, 3]","[3, 3, 3, 2]","[3, 4, 4, 4]"
1106,flow,5.0,6.0,6.5,3.5,5.25,4.0,4.25,"[4, 5, 6, 5]","[6, 6, 6, 6]","[7, 5, 6, 8]","[4, 4, 2, 4]","[5, 5, 6, 5]","[4, 4, 4, 4]","[4, 4, 5, 4]"
1107,beverage,3.0,5.75,4.5,5.25,5.25,2.75,3.75,"[2, 4, 2, 4]","[5, 6, 6, 6]","[5, 4, 5, 4]","[6, 6, 5, 4]","[6, 5, 5, 5]","[3, 2, 3, 3]","[3, 4, 4, 4]"
1108,agility,6.5,6.5,6.5,4.25,4.75,3.25,4.5,"[5, 7, 7, 7]","[7, 6, 7, 6]","[6, 6, 7, 7]","[4, 4, 5, 4]","[5, 5, 4, 5]","[4, 3, 3, 3]","[4, 5, 5, 4]"
1109,upset,6.0,2.5,2.25,3.0,4.25,2.5,3.25,"[5, 6, 6, 7]","[3, 3, 2, 2]","[3, 2, 2, 2]","[3, 3, 3, 3]","[5, 4, 4, 4]","[3, 2, 3, 2]","[3, 3, 4, 3]"
1110,shrug,3.25,4.75,3.5,3.75,4.75,2.25,4.25,"[3, 3, 3, 4]","[5, 5, 5, 4]","[4, 3, 4, 3]","[4, 4, 4, 3]","[5, 5, 4, 5]","[3, 2, 2, 2]","[4, 4, 5, 4]"
1111,beat (rhythm),6.0,6.5,6.25,5.25,6.0,4.25,5.25,"[5, 6, 7, 6]","[7, 6, 7, 6]","[6, 6, 6, 7]","[6, 5, 5, 5]","[6, 6, 6, 6]","[5, 4, 4, 4]","[5, 5, 6, 5]"
1112,fart,7.0,2.0,1.5,1.5,3.0,1.75,4.25,"[6, 7, 8, 7]","[2, 2, 2, 2]","[2, 1, 2, 1]","[1, 1, 2, 2]","[4, 3, 2, 3]","[2, 1, 2, 2]","[3, 4, 7, 3]"
1113,polish,3.25,5.5,4.5,5.0,4.75,2.5,4.25,"[2, 4, 3, 4]","[5, 6, 6, 5]","[4, 4, 5, 5]","[5, 5, 5, 5]","[5, 5, 4, 5]","[3, 2, 3, 2]","[4, 4, 5, 4]"
1114,anxious,6.5,2.25,2.25,2.75,4.0,2.25,3.5,"[6, 7, 6, 7]","[2, 3, 2, 2]","[3, 2, 2, 2]","[2, 3, 3, 3]","[5, 4, 3, 4]","[3, 2, 2, 2]","[3, 3, 4, 4]"
1115,king,5.25,7.25,8.25,6.5,5.5,5.75,6.25,"[4, 6, 6, 5]","[7, 7, 8, 7]","[9, 8, 8, 8]","[7, 6, 6, 7]","[6, 6, 5, 5]","[6, 6, 5, 6]","[7, 6, 6, 6]"
1116,hen (chicken),2.5,5.0,3.5,6.25,5.75,2.25,1.25,"[2, 3, 2, 3]","[5, 5, 5, 5]","[4, 3, 4, 3]","[7, 6, 6, 6]","[6, 6, 5, 6]","[2, 2, 2, 3]","[1, 2, 1, 1]"
1117,present (show),4.25,6.0,5.25,4.5,5.0,3.5,4.0,"[3, 5, 4, 5]","[6, 6, 6, 6]","[5, 6, 5, 5]","[4, 5, 5, 4]","[5, 5, 5, 5]","[4, 4, 3, 3]","[4, 4, 4, 4]"
1118,ordeal,6.75,2.75,2.0,2.75,3.75,4.25,4.0,"[6, 7, 7, 7]","[3, 3, 3, 2]","[2, 2, 2, 2]","[2, 3, 3, 3]","[4, 4, 3, 4]","[5, 4, 4, 4]","[4, 4, 4, 4]"
1119,seize,6.0,4.0,6.5,4.5,4.75,3.75,5.75,"[5, 6, 7, 6]","[4, 4, 4, 4]","[6, 7, 6, 7]","[4, 4, 5, 5]","[5, 5, 4, 5]","[4, 4, 4, 3]","[6, 6, 6, 5]"
1120,edge,4.5,4.75,4.75,5.0,5.25,3.25,4.75,"[4, 5, 5, 4]","[5, 5, 5, 4]","[5, 5, 4, 5]","[5, 5, 5, 5]","[5, 5, 5, 6]","[4, 3, 3, 3]","[4, 5, 5, 5]"
1121,theatrical,5.75,5.75,6.0,3.75,5.0,4.25,4.25,"[5, 6, 6, 6]","[6, 6, 6, 5]","[6, 6, 6, 6]","[4, 3, 4, 4]","[5, 5, 5, 5]","[5, 4, 4, 4]","[4, 5, 4, 4]"
1122,set,3.25,5.0,5.0,3.5,4.75,3.5,4.75,"[2, 3, 4, 4]","[5, 5, 5, 5]","[5, 5, 5, 5]","[3, 4, 3, 4]","[5, 5, 4, 5]","[4, 4, 3, 3]","[4, 5, 5, 5]"
1123,overt,5.25,4.5,6.25,3.5,4.0,3.75,5.0,"[4, 4, 7, 6]","[4, 5, 5, 4]","[5, 7, 6, 7]","[3, 3, 4, 4]","[4, 4, 4, 4]","[4, 3, 5, 3]","[4, 6, 5, 5]"
1124,relation,3.5,5.5,5.25,4.25,4.75,3.25,4.25,"[3, 4, 3, 4]","[5, 6, 6, 5]","[5, 5, 5, 6]","[4, 5, 4, 4]","[5, 5, 4, 5]","[4, 3, 3, 3]","[4, 4, 4, 5]"
1125,pupil (school),2.75,6.0,4.25,5.5,5.0,2.5,4.0,"[3, 3, 2, 3]","[5, 6, 7, 6]","[5, 3, 5, 4]","[6, 5, 5, 6]","[5, 5, 5, 5]","[3, 2, 2, 3]","[4, 4, 4, 4]"
1126,sweat,5.75,3.25,2.75,4.5,4.75,2.75,4.0,"[5, 6, 6, 6]","[3, 4, 3, 3]","[3, 3, 2, 3]","[4, 5, 4, 5]","[5, 5, 4, 5]","[3, 2, 3, 3]","[4, 4, 5, 3]"
1127,ladybird,3.0,6.0,3.25,6.25,5.5,1.5,1.5,"[2, 4, 2, 4]","[6, 6, 6, 6]","[4, 2, 4, 3]","[7, 6, 6, 6]","[6, 6, 5, 5]","[1, 1, 2, 2]","[1, 2, 1, 2]"
1128,blessing,4.25,8.0,6.0,3.75,4.75,3.0,3.0,"[3, 5, 3, 6]","[8, 8, 8, 8]","[6, 6, 6, 6]","[3, 3, 4, 5]","[5, 5, 4, 5]","[3, 3, 4, 2]","[3, 3, 3, 3]"
1129,trace (copy),3.25,5.0,4.5,4.25,4.75,2.5,4.25,"[2, 4, 3, 4]","[5, 5, 5, 5]","[4, 4, 5, 5]","[4, 4, 5, 4]","[5, 5, 4, 5]","[3, 2, 3, 2]","[4, 4, 5, 4]"
1130,mutilate,8.0,2.0,1.75,2.5,3.0,5.0,5.75,"[7, 8, 8, 9]","[2, 2, 2, 2]","[2, 2, 2, 1]","[1, 1, 2, 6]","[4, 3, 2, 3]","[5, 5, 6, 4]","[6, 5, 6, 6]"
1131,starve,7.5,2.0,1.5,2.75,4.0,3.0,3.75,"[6, 8, 8, 8]","[2, 2, 2, 2]","[2, 1, 2, 1]","[2, 4, 2, 3]","[5, 4, 3, 4]","[4, 4, 2, 2]","[4, 3, 5, 3]"
1132,panther,7.0,5.75,6.5,6.75,5.25,5.0,5.5,"[6, 7, 7, 8]","[6, 6, 5, 6]","[7, 7, 6, 6]","[7, 7, 6, 7]","[5, 6, 5, 5]","[5, 5, 5, 5]","[5, 5, 6, 6]"
1133,ass (donkey),3.75,4.5,3.5,6.25,4.75,3.5,4.5,"[3, 4, 4, 4]","[4, 5, 5, 4]","[4, 3, 4, 3]","[7, 6, 6, 6]","[5, 5, 4, 5]","[3, 3, 4, 4]","[5, 4, 6, 3]"
1134,buoy,4.25,5.75,4.5,5.25,4.75,3.0,4.0,"[4, 4, 4, 5]","[6, 6, 6, 5]","[4, 5, 4, 5]","[5, 6, 5, 5]","[5, 5, 4, 5]","[3, 3, 3, 3]","[3, 4, 5, 4]"
1135,spin,5.75,5.0,5.0,3.75,5.0,3.25,4.5,"[5, 6, 6, 6]","[5, 5, 5, 5]","[5, 5, 5, 5]","[3, 4, 4, 4]","[5, 5, 5, 5]","[4, 3, 3, 3]","[4, 5, 5, 4]"
1136,mint (food),2.75,6.5,4.0,6.0,5.25,2.0,3.5,"[2, 3, 2, 4]","[6, 7, 6, 7]","[4, 4, 4, 4]","[6, 6, 6, 6]","[6, 5, 5, 5]","[2, 2, 2, 2]","[3, 4, 4, 3]"
1137,stir (move),4.75,5.0,5.25,4.75,5.0,3.25,4.75,"[4, 5, 5, 5]","[5, 5, 5, 5]","[5, 5, 5, 6]","[5, 5, 5, 4]","[5, 5, 5, 5]","[4, 3, 3, 3]","[4, 5, 5, 5]"
1138,idiotic,6.0,2.0,1.5,1.75,3.0,2.0,4.0,"[6, 6, 4, 8]","[2, 2, 2, 2]","[2, 1, 2, 1]","[1, 2, 2, 2]","[4, 3, 2, 3]","[2, 2, 2, 2]","[3, 3, 6, 4]"
1139,crocodile,7.0,3.0,6.75,6.75,4.5,5.75,5.5,"[7, 7, 7, 7]","[3, 3, 3, 3]","[6, 9, 5, 7]","[7, 7, 6, 7]","[5, 6, 3, 4]","[6, 6, 6, 5]","[5, 5, 6, 6]"
1140,gist,3.75,5.5,5.0,3.75,4.5,3.0,4.0,"[3, 4, 3, 5]","[5, 6, 6, 5]","[5, 5, 5, 5]","[3, 4, 4, 4]","[5, 5, 4, 4]","[3, 3, 3, 3]","[4, 4, 4, 4]"
1141,dissident,6.25,3.25,3.5,3.0,3.75,3.5,5.25,"[5, 6, 7, 7]","[3, 4, 3, 3]","[5, 3, 3, 3]","[3, 2, 3, 4]","[4, 5, 3, 3]","[4, 4, 3, 3]","[5, 5, 6, 5]"
1142,oath,5.0,5.0,5.5,4.0,4.5,3.25,5.0,"[4, 5, 5, 6]","[6, 5, 5, 4]","[5, 5, 6, 6]","[4, 4, 4, 4]","[5, 5, 4, 4]","[4, 3, 3, 3]","[5, 5, 5, 5]"
1143,demolish,6.75,2.5,6.25,3.75,3.75,5.25,5.5,"[6, 7, 7, 7]","[2, 3, 3, 2]","[6, 7, 4, 8]","[2, 2, 5, 6]","[4, 4, 3, 4]","[5, 5, 6, 5]","[6, 5, 6, 5]"
1144,range (array),3.5,5.75,5.25,4.25,5.0,4.75,5.0,"[3, 4, 3, 4]","[6, 6, 6, 5]","[5, 5, 5, 6]","[4, 5, 4, 4]","[5, 5, 5, 5]","[5, 5, 4, 5]","[5, 5, 5, 5]"
1145,cuisine,3.75,7.0,5.75,5.75,5.25,3.75,3.5,"[3, 4, 2, 6]","[7, 7, 7, 7]","[5, 6, 6, 6]","[6, 6, 5, 6]","[6, 5, 5, 5]","[4, 3, 4, 4]","[2, 4, 4, 4]"
1146,treasurer,3.0,5.5,5.75,5.0,4.0,4.0,4.75,"[2, 4, 2, 4]","[5, 5, 6, 6]","[5, 6, 6, 6]","[5, 5, 5, 5]","[4, 4, 4, 4]","[4, 4, 4, 4]","[4, 4, 6, 5]"
1147,gay (homosexual),6.25,6.75,4.5,2.5,4.5,2.75,1.5,"[6, 6, 6, 7]","[6, 7, 7, 7]","[5, 5, 5, 3]","[2, 2, 3, 3]","[5, 5, 4, 4]","[3, 2, 3, 3]","[1, 2, 1, 2]"
1148,temerity,7.0,2.75,4.0,2.25,3.75,3.25,4.5,"[6, 7, 7, 8]","[3, 3, 2, 3]","[3, 2, 3, 8]","[2, 2, 2, 3]","[4, 4, 3, 4]","[4, 3, 3, 3]","[4, 4, 6, 4]"
1149,hog,4.75,3.5,3.0,6.0,4.75,3.5,5.0,"[4, 4, 5, 6]","[3, 4, 4, 3]","[4, 2, 3, 3]","[7, 6, 5, 6]","[5, 5, 4, 5]","[3, 4, 3, 4]","[5, 5, 6, 4]"
1150,compliment,4.25,8.0,6.25,4.0,5.0,2.25,3.0,"[3, 5, 3, 6]","[8, 8, 8, 8]","[6, 6, 6, 7]","[4, 4, 4, 4]","[5, 5, 5, 5]","[3, 2, 2, 2]","[3, 3, 3, 3]"
1151,perception,4.75,5.0,5.5,3.75,4.5,4.0,4.5,"[5, 5, 4, 5]","[5, 5, 5, 5]","[6, 5, 5, 6]","[4, 4, 3, 4]","[4, 4, 5, 5]","[4, 4, 4, 4]","[5, 4, 4, 5]"
1152,pipe,2.75,4.5,4.5,5.5,4.25,3.75,5.75,"[2, 3, 3, 3]","[4, 4, 5, 5]","[5, 4, 4, 5]","[5, 6, 5, 6]","[4, 4, 5, 4]","[4, 4, 3, 4]","[6, 6, 5, 6]"
1153,evaluate,4.25,5.25,6.0,3.25,4.25,3.75,5.0,"[4, 4, 4, 5]","[5, 5, 6, 5]","[6, 6, 6, 6]","[3, 3, 3, 4]","[4, 4, 5, 4]","[4, 4, 4, 3]","[5, 5, 5, 5]"
1154,argue,6.0,3.0,4.25,2.5,4.25,3.25,5.25,"[7, 6, 4, 7]","[3, 3, 3, 3]","[4, 4, 4, 5]","[2, 3, 2, 3]","[4, 4, 4, 5]","[3, 4, 3, 3]","[6, 5, 6, 4]"
1155,regular,3.5,5.0,4.75,4.5,4.0,3.0,5.0,"[3, 4, 3, 4]","[5, 5, 5, 5]","[5, 4, 5, 5]","[4, 4, 5, 5]","[4, 4, 4, 4]","[3, 3, 3, 3]","[5, 5, 5, 5]"
1156,brake,4.0,4.0,5.0,5.5,4.25,3.0,5.5,"[5, 3, 3, 5]","[4, 4, 4, 4]","[5, 5, 5, 5]","[5, 6, 5, 6]","[4, 4, 4, 5]","[3, 3, 3, 3]","[6, 5, 5, 6]"
1157,facility,3.75,5.5,5.0,4.75,4.5,4.0,5.0,"[4, 4, 3, 4]","[5, 5, 6, 6]","[5, 4, 5, 6]","[5, 5, 4, 5]","[4, 4, 5, 5]","[4, 4, 4, 4]","[5, 5, 5, 5]"
1158,warm,5.75,6.5,5.75,6.0,5.5,4.25,4.75,"[6, 6, 5, 6]","[7, 6, 7, 6]","[6, 5, 6, 6]","[6, 6, 6, 6]","[5, 6, 5, 6]","[4, 4, 5, 4]","[5, 5, 4, 5]"
1159,trophy,5.5,6.75,6.5,5.0,4.5,4.25,6.0,"[7, 6, 4, 5]","[7, 7, 7, 6]","[6, 7, 6, 7]","[5, 5, 5, 5]","[5, 4, 4, 5]","[4, 4, 4, 5]","[6, 6, 6, 6]"
1160,debt,3.25,2.5,3.0,2.5,3.5,3.5,5.0,"[3, 4, 2, 4]","[2, 3, 3, 2]","[4, 2, 3, 3]","[2, 3, 2, 3]","[3, 3, 4, 4]","[4, 3, 3, 4]","[5, 5, 5, 5]"
1161,suspicion,5.25,3.25,3.25,2.5,4.0,3.0,4.5,"[6, 5, 4, 6]","[3, 3, 4, 3]","[4, 3, 3, 3]","[2, 2, 3, 3]","[4, 4, 4, 4]","[3, 3, 3, 3]","[5, 5, 4, 4]"
1162,bundle,3.75,4.25,3.75,4.5,4.0,3.25,4.75,"[4, 4, 3, 4]","[4, 4, 5, 4]","[4, 3, 4, 4]","[4, 5, 4, 5]","[4, 4, 4, 4]","[4, 3, 3, 3]","[5, 4, 5, 5]"
1163,musket,5.5,3.25,4.0,6.0,3.5,5.0,6.25,"[7, 6, 3, 6]","[3, 3, 4, 3]","[7, 5, 2, 2]","[6, 7, 6, 5]","[4, 3, 4, 3]","[5, 5, 4, 6]","[7, 6, 6, 6]"
1164,heir,3.5,6.0,6.25,4.5,4.25,4.0,5.75,"[3, 4, 3, 4]","[6, 6, 6, 6]","[7, 6, 5, 7]","[4, 5, 4, 5]","[4, 4, 4, 5]","[5, 4, 4, 3]","[6, 6, 5, 6]"
1165,hypothesis,4.5,5.0,5.25,2.75,3.75,3.75,5.5,"[5, 4, 4, 5]","[5, 5, 5, 5]","[5, 6, 5, 5]","[2, 4, 2, 3]","[4, 3, 4, 4]","[4, 4, 3, 4]","[6, 6, 5, 5]"
1166,lead (heavy metal),5.0,3.0,4.5,6.25,3.0,5.0,6.25,"[6, 6, 2, 6]","[3, 3, 3, 3]","[5, 6, 3, 4]","[6, 6, 6, 7]","[3, 3, 4, 2]","[5, 5, 5, 5]","[7, 6, 6, 6]"
1167,snowman,4.25,6.25,4.5,6.0,5.25,3.75,3.75,"[4, 5, 4, 4]","[6, 6, 7, 6]","[5, 3, 5, 5]","[6, 6, 6, 6]","[6, 5, 5, 5]","[4, 4, 4, 3]","[4, 4, 4, 3]"
1168,vandal,6.0,2.0,2.25,2.0,3.75,2.75,6.0,"[7, 6, 4, 7]","[2, 2, 2, 2]","[3, 2, 2, 2]","[2, 2, 2, 2]","[4, 3, 4, 4]","[3, 3, 3, 2]","[6, 6, 6, 6]"
1169,production,4.75,5.25,6.5,4.25,4.75,4.75,5.25,"[5, 5, 4, 5]","[5, 5, 5, 6]","[6, 7, 6, 7]","[4, 5, 4, 4]","[5, 4, 5, 5]","[5, 5, 4, 5]","[6, 5, 5, 5]"
1170,historical,3.0,5.75,5.0,5.25,4.75,4.5,5.25,"[3, 4, 3, 2]","[6, 6, 6, 5]","[5, 5, 5, 5]","[4, 6, 6, 5]","[5, 4, 5, 5]","[4, 5, 4, 5]","[6, 5, 5, 5]"
1171,married,4.5,6.25,5.25,5.0,4.75,4.0,5.25,"[4, 5, 4, 5]","[6, 6, 7, 6]","[6, 5, 4, 6]","[5, 5, 5, 5]","[5, 4, 5, 5]","[4, 4, 4, 4]","[6, 5, 5, 5]"
1172,phenomenon,5.0,5.25,5.75,2.75,4.5,4.75,5.25,"[6, 5, 4, 5]","[6, 5, 5, 5]","[6, 6, 5, 6]","[2, 4, 2, 3]","[5, 3, 5, 5]","[5, 5, 4, 5]","[5, 6, 5, 5]"
1173,slip,4.5,3.5,3.75,4.75,4.25,2.0,4.25,"[4, 5, 4, 5]","[3, 4, 4, 3]","[4, 3, 4, 4]","[4, 5, 4, 6]","[4, 4, 4, 5]","[2, 2, 2, 2]","[5, 4, 4, 4]"
1174,conformity,2.25,3.25,3.0,2.0,3.5,3.0,4.75,"[2, 3, 2, 2]","[3, 4, 3, 3]","[4, 3, 3, 2]","[2, 2, 2, 2]","[4, 3, 4, 3]","[3, 3, 3, 3]","[5, 5, 5, 4]"
1175,benefit,4.25,6.75,6.0,4.0,4.25,4.0,5.0,"[5, 4, 4, 4]","[7, 6, 7, 7]","[6, 6, 6, 6]","[4, 5, 3, 4]","[4, 4, 4, 5]","[4, 4, 4, 4]","[5, 5, 5, 5]"
1176,real,4.5,6.0,5.75,5.75,5.0,3.75,5.25,"[4, 5, 4, 5]","[6, 6, 6, 6]","[6, 5, 6, 6]","[5, 7, 5, 6]","[5, 5, 5, 5]","[4, 4, 3, 4]","[6, 5, 5, 5]"
1177,blank,2.5,4.5,3.5,2.25,3.5,2.0,4.5,"[2, 3, 2, 3]","[4, 4, 5, 5]","[4, 2, 4, 4]","[2, 3, 2, 2]","[4, 3, 4, 3]","[2, 2, 2, 2]","[5, 4, 5, 4]"
1178,crystal,5.25,6.25,6.25,5.5,4.75,4.75,4.5,"[6, 5, 5, 5]","[6, 6, 6, 7]","[6, 6, 6, 7]","[7, 7, 1, 7]","[5, 4, 5, 5]","[5, 5, 4, 5]","[6, 4, 4, 4]"
1179,cap (hat),3.0,5.0,3.5,6.0,4.25,2.25,5.0,"[3, 3, 3, 3]","[5, 5, 5, 5]","[4, 2, 3, 5]","[6, 6, 5, 7]","[4, 4, 5, 4]","[2, 2, 3, 2]","[5, 5, 5, 5]"
1180,sting,6.25,3.25,3.75,3.75,4.0,2.5,5.75,"[7, 6, 5, 7]","[3, 3, 4, 3]","[4, 4, 3, 4]","[2, 4, 4, 5]","[4, 4, 4, 4]","[3, 3, 2, 2]","[6, 6, 5, 6]"
1181,free,5.75,7.25,6.75,3.5,5.0,3.5,4.5,"[6, 5, 6, 6]","[8, 7, 7, 7]","[7, 6, 7, 7]","[3, 5, 3, 3]","[5, 5, 5, 5]","[3, 4, 4, 3]","[5, 4, 4, 5]"
1182,fare,3.75,4.75,4.25,4.0,4.0,3.0,4.25,"[4, 4, 3, 4]","[5, 4, 5, 5]","[5, 4, 4, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]","[3, 3, 3, 3]","[5, 4, 4, 4]"
1183,low,2.25,3.0,3.25,3.5,4.0,2.0,4.25,"[2, 3, 2, 2]","[3, 3, 3, 3]","[4, 3, 4, 2]","[4, 2, 4, 4]","[4, 4, 4, 4]","[2, 2, 2, 2]","[5, 4, 4, 4]"
1184,goblin,5.5,3.0,2.5,1.75,3.5,2.5,4.75,"[6, 6, 4, 6]","[3, 3, 3, 3]","[3, 2, 2, 3]","[2, 3, 1, 1]","[4, 3, 4, 3]","[3, 3, 2, 2]","[5, 4, 6, 4]"
1185,scientific,4.0,5.5,6.0,3.75,4.25,4.0,5.5,"[4, 4, 4, 4]","[6, 5, 6, 5]","[6, 6, 6, 6]","[2, 6, 4, 3]","[4, 3, 5, 5]","[4, 4, 4, 4]","[6, 6, 5, 5]"
1186,soothing,3.25,7.0,4.25,3.75,5.75,3.5,3.75,"[3, 3, 4, 3]","[7, 7, 7, 7]","[4, 2, 5, 6]","[4, 5, 4, 2]","[6, 6, 5, 6]","[4, 3, 4, 3]","[4, 4, 4, 3]"
1187,motor,5.5,5.0,6.5,5.5,4.5,4.75,6.0,"[6, 6, 4, 6]","[5, 5, 5, 5]","[7, 6, 6, 7]","[5, 6, 5, 6]","[4, 4, 5, 5]","[5, 5, 4, 5]","[6, 6, 6, 6]"
1188,forehead,3.25,5.0,3.25,6.0,4.5,2.75,4.5,"[3, 3, 3, 4]","[5, 5, 5, 5]","[4, 2, 4, 3]","[6, 6, 5, 7]","[4, 4, 5, 5]","[3, 3, 3, 2]","[5, 5, 4, 4]"
1189,technicality,3.0,4.25,3.75,2.0,3.5,2.75,5.5,"[2, 4, 2, 4]","[4, 4, 5, 4]","[4, 3, 4, 4]","[2, 2, 2, 2]","[4, 3, 4, 3]","[3, 3, 3, 2]","[6, 6, 5, 5]"
1190,star,6.25,7.0,6.25,4.75,5.5,5.25,5.25,"[6, 7, 6, 6]","[7, 7, 7, 7]","[7, 6, 6, 6]","[1, 6, 6, 6]","[5, 5, 6, 6]","[5, 6, 5, 5]","[6, 5, 6, 4]"
1191,study,3.5,5.25,5.25,4.25,4.5,2.75,4.75,"[4, 3, 3, 4]","[5, 5, 6, 5]","[5, 5, 5, 6]","[4, 4, 4, 5]","[4, 4, 5, 5]","[4, 3, 2, 2]","[5, 5, 5, 4]"
1192,dolls,3.0,5.0,3.25,5.0,4.75,2.0,2.5,"[2, 4, 3, 3]","[5, 4, 6, 5]","[4, 3, 4, 2]","[5, 4, 5, 6]","[5, 4, 4, 6]","[2, 2, 2, 2]","[3, 2, 2, 3]"
1193,toes,3.0,4.25,3.5,6.0,4.5,2.0,4.0,"[3, 3, 2, 4]","[4, 4, 5, 4]","[4, 3, 4, 3]","[6, 6, 5, 7]","[4, 5, 4, 5]","[2, 2, 2, 2]","[4, 4, 4, 4]"
1194,cactus,3.0,3.75,2.75,6.25,4.25,2.0,5.0,"[3, 4, 2, 3]","[3, 4, 4, 4]","[4, 2, 3, 2]","[6, 6, 6, 7]","[4, 4, 5, 4]","[2, 2, 2, 2]","[4, 5, 5, 6]"
1195,text (phone message),4.0,5.0,4.5,3.25,4.0,2.25,4.5,"[4, 5, 3, 4]","[5, 5, 5, 5]","[5, 4, 4, 5]","[3, 4, 2, 4]","[4, 4, 4, 4]","[2, 2, 3, 2]","[4, 5, 5, 4]"
1196,poker (cards),5.5,5.0,5.5,3.5,4.0,3.0,5.25,"[6, 6, 5, 5]","[5, 5, 5, 5]","[6, 5, 5, 6]","[3, 4, 3, 4]","[4, 4, 4, 4]","[3, 3, 3, 3]","[5, 5, 6, 5]"
1197,serve,4.0,5.25,5.5,4.75,4.5,3.0,5.0,"[4, 5, 3, 4]","[5, 5, 6, 5]","[6, 5, 5, 6]","[5, 5, 4, 5]","[4, 4, 5, 5]","[3, 3, 3, 3]","[5, 5, 5, 5]"
1198,jacuzzi,6.75,6.0,6.0,6.0,4.75,4.75,4.5,"[6, 7, 6, 8]","[6, 6, 6, 6]","[6, 5, 6, 7]","[5, 6, 7, 6]","[5, 4, 5, 5]","[5, 4, 5, 5]","[4, 4, 6, 4]"
1199,convoy,4.75,5.25,5.25,4.5,4.0,4.75,5.5,"[5, 5, 4, 5]","[5, 5, 5, 6]","[6, 5, 5, 5]","[4, 5, 4, 5]","[4, 4, 4, 4]","[5, 5, 4, 5]","[6, 5, 5, 6]"
1200,yard (lawn),3.5,5.25,4.75,6.0,5.0,4.5,4.5,"[3, 4, 3, 4]","[5, 5, 6, 5]","[5, 4, 5, 5]","[6, 6, 6, 6]","[5, 5, 5, 5]","[5, 4, 4, 5]","[4, 5, 4, 5]"
1201,raise (lift),5.0,5.75,6.25,5.0,4.25,4.0,5.75,"[5, 5, 4, 6]","[6, 5, 6, 6]","[6, 6, 6, 7]","[5, 5, 5, 5]","[4, 4, 4, 5]","[4, 4, 4, 4]","[6, 5, 6, 6]"
1202,mingle,4.75,5.25,4.5,4.25,4.25,3.0,4.25,"[5, 5, 4, 5]","[5, 5, 6, 5]","[5, 4, 5, 4]","[4, 4, 4, 5]","[4, 4, 4, 5]","[3, 3, 3, 3]","[5, 4, 4, 4]"
1203,strap,4.25,4.25,4.25,5.25,4.0,2.75,5.25,"[4, 4, 4, 5]","[4, 4, 5, 4]","[4, 4, 4, 5]","[5, 5, 5, 6]","[4, 4, 4, 4]","[3, 3, 3, 2]","[5, 5, 6, 5]"
1204,rock,5.25,5.0,5.5,6.5,5.0,4.75,6.0,"[6, 6, 4, 5]","[5, 5, 5, 5]","[6, 6, 5, 5]","[6, 7, 6, 7]","[5, 5, 5, 5]","[5, 5, 4, 5]","[6, 6, 6, 6]"
1205,table (desk),3.0,5.0,4.75,5.75,5.0,4.0,5.0,"[3, 4, 2, 3]","[5, 5, 5, 5]","[5, 4, 5, 5]","[6, 6, 5, 6]","[5, 5, 5, 5]","[4, 4, 4, 4]","[5, 5, 5, 5]"
1206,cliff,5.25,3.75,4.0,6.0,5.0,5.75,6.0,"[6, 5, 4, 6]","[3, 4, 4, 4]","[4, 4, 4, 4]","[6, 6, 6, 6]","[5, 5, 5, 5]","[6, 6, 5, 6]","[6, 6, 6, 6]"
1207,situation,4.75,5.0,5.0,4.25,4.75,4.0,5.0,"[5, 5, 4, 5]","[5, 5, 5, 5]","[5, 5, 5, 5]","[4, 4, 4, 5]","[5, 4, 5, 5]","[4, 4, 4, 4]","[5, 5, 5, 5]"
1208,spell (magical),5.75,6.25,6.5,3.0,4.75,3.5,3.75,"[6, 6, 5, 6]","[6, 6, 6, 7]","[7, 6, 6, 7]","[3, 3, 2, 4]","[5, 4, 5, 5]","[4, 3, 3, 4]","[4, 3, 4, 4]"
1209,moist,4.75,4.0,3.25,4.25,4.0,2.0,3.5,"[4, 5, 4, 6]","[4, 4, 4, 4]","[4, 3, 3, 3]","[4, 4, 4, 5]","[4, 4, 4, 4]","[2, 2, 2, 2]","[4, 3, 4, 3]"
