,Word,Arousal_mean,Valence_mean,Dominance_mean,Concreteness_mean,Imageability_mean,Size_mean,Gender_mean,Arousal_by_runs,Valence_by_runs,Dominance_by_runs,Concreteness_by_runs,Imageability_by_runs,Size_by_runs,Gender_by_runs
311,sausage,3.0,6.0,4.5,7.0,7.0,3.0,4.0,"[3, 3, 3, 3]","[6, 6, 6, 6]","[5, 4, 5, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[3, 3, 3, 3]","[4, 4, 4, 4]"
312,lean (skinny),3.0,4.5,4.25,5.0,5.25,2.5,4.0,"[3, 3, 3, 3]","[4, 5, 5, 4]","[4, 4, 5, 4]","[5, 5, 5, 5]","[5, 6, 5, 5]","[3, 3, 2, 2]","[4, 4, 4, 4]"
313,ordinary,2.0,5.0,4.5,3.0,4.5,3.75,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[4, 4, 5, 5]","[3, 3, 3, 3]","[5, 5, 4, 4]","[3, 4, 4, 4]","[4, 4, 4, 4]"
314,disdain,4.5,2.75,3.0,2.5,3.75,3.75,4.0,"[4, 4, 6, 4]","[2, 3, 3, 3]","[3, 3, 3, 3]","[3, 2, 2, 3]","[4, 4, 4, 3]","[3, 4, 4, 4]","[4, 4, 4, 4]"
315,seldom,2.0,5.0,4.5,2.25,3.25,3.5,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[4, 4, 5, 5]","[3, 2, 2, 2]","[4, 4, 3, 2]","[3, 4, 4, 3]","[4, 4, 4, 4]"
316,blessings,4.5,8.25,6.5,3.5,5.0,4.0,3.75,"[3, 5, 4, 6]","[8, 9, 8, 8]","[7, 6, 7, 6]","[4, 3, 3, 4]","[5, 5, 5, 5]","[4, 4, 4, 4]","[4, 4, 3, 4]"
317,diploma,3.5,7.25,6.25,6.5,6.0,3.75,4.0,"[3, 4, 4, 3]","[7, 8, 7, 7]","[6, 6, 7, 6]","[7, 6, 6, 7]","[6, 6, 6, 6]","[4, 4, 3, 4]","[4, 4, 4, 4]"
318,typewriter,2.25,5.25,4.5,7.0,7.0,4.0,4.0,"[2, 2, 2, 3]","[5, 6, 5, 5]","[4, 4, 5, 5]","[7, 7, 7, 7]","[7, 7, 7, 7]","[4, 4, 4, 4]","[4, 4, 4, 4]"
319,paperclip,1.25,5.0,4.25,7.0,7.0,1.25,4.0,"[1, 1, 1, 2]","[5, 5, 5, 5]","[4, 4, 5, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[1, 2, 1, 1]","[4, 4, 4, 4]"
320,tone (colour),2.25,5.5,5.0,5.75,5.75,3.0,4.0,"[2, 2, 2, 3]","[6, 6, 5, 5]","[5, 5, 5, 5]","[6, 6, 5, 6]","[6, 6, 6, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
321,peel,2.0,5.0,4.25,6.25,6.0,2.0,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[4, 4, 5, 4]","[6, 6, 6, 7]","[6, 6, 6, 6]","[2, 2, 2, 2]","[4, 4, 4, 4]"
322,sovereign,4.25,6.75,7.25,4.75,4.5,5.5,4.25,"[4, 4, 5, 4]","[7, 7, 6, 7]","[7, 7, 8, 7]","[5, 4, 5, 5]","[4, 6, 4, 4]","[5, 6, 6, 5]","[4, 4, 5, 4]"
323,shudder,5.5,3.0,3.0,4.5,5.25,3.0,4.0,"[5, 6, 6, 5]","[3, 3, 3, 3]","[3, 3, 3, 3]","[5, 4, 4, 5]","[5, 6, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
324,kinky,6.5,4.5,5.5,3.25,4.25,3.0,4.0,"[6, 7, 6, 7]","[5, 5, 4, 4]","[6, 6, 5, 5]","[4, 3, 3, 3]","[4, 5, 4, 4]","[3, 3, 3, 3]","[4, 4, 4, 4]"
325,slow,1.25,4.25,4.0,3.25,4.25,3.25,4.0,"[1, 1, 1, 2]","[4, 4, 5, 4]","[4, 3, 5, 4]","[4, 3, 3, 3]","[4, 5, 4, 4]","[3, 4, 3, 3]","[4, 4, 4, 4]"
326,catch (drawback),3.75,4.0,4.25,4.0,3.75,3.0,4.0,"[4, 4, 4, 3]","[4, 4, 4, 4]","[4, 4, 5, 4]","[4, 4, 4, 4]","[4, 4, 4, 3]","[3, 3, 3, 3]","[4, 4, 4, 4]"
327,ever,3.0,5.0,5.0,2.0,3.25,4.25,4.0,"[3, 3, 3, 3]","[5, 5, 5, 5]","[5, 5, 5, 5]","[2, 2, 2, 2]","[4, 4, 3, 2]","[4, 4, 4, 5]","[4, 4, 4, 4]"
328,wing,3.0,5.75,5.25,6.5,6.0,3.25,4.0,"[3, 3, 3, 3]","[6, 6, 5, 6]","[5, 5, 6, 5]","[7, 6, 6, 7]","[6, 6, 6, 6]","[3, 3, 3, 4]","[4, 4, 4, 4]"
329,hen (woman),3.0,5.0,4.25,5.25,5.5,3.0,2.25,"[3, 3, 3, 3]","[5, 5, 5, 5]","[4, 4, 5, 4]","[5, 5, 5, 6]","[6, 5, 5, 6]","[3, 3, 3, 3]","[3, 1, 2, 3]"
330,wart,2.75,2.0,2.5,6.75,6.0,1.5,4.0,"[3, 3, 3, 2]","[2, 2, 2, 2]","[2, 2, 3, 3]","[7, 7, 6, 7]","[6, 6, 6, 6]","[2, 1, 2, 1]","[4, 4, 4, 4]"
331,vigour,5.5,7.0,6.5,3.75,4.25,4.0,4.5,"[5, 5, 6, 6]","[7, 7, 7, 7]","[7, 6, 7, 6]","[4, 3, 4, 4]","[4, 5, 4, 4]","[4, 4, 4, 4]","[4, 4, 5, 5]"
332,detonate,8.5,2.0,6.0,4.75,5.5,5.25,4.25,"[9, 8, 9, 8]","[2, 2, 2, 2]","[7, 7, 4, 6]","[5, 5, 4, 5]","[5, 6, 6, 5]","[5, 5, 6, 5]","[4, 4, 5, 4]"
333,sheer (thin),2.25,5.0,4.25,5.25,5.0,2.0,4.0,"[2, 2, 2, 3]","[5, 5, 5, 5]","[4, 4, 5, 4]","[6, 5, 5, 5]","[5, 5, 5, 5]","[2, 2, 2, 2]","[4, 4, 4, 4]"
334,beaten,4.25,2.75,2.25,4.0,5.25,4.0,4.0,"[5, 4, 6, 2]","[3, 2, 3, 3]","[2, 2, 3, 2]","[5, 4, 4, 3]","[5, 6, 5, 5]","[4, 4, 4, 4]","[4, 4, 4, 4]"
335,range (outdoors),3.25,6.25,5.25,5.5,5.75,5.0,4.0,"[3, 3, 3, 4]","[6, 7, 6, 6]","[5, 5, 6, 5]","[6, 5, 5, 6]","[6, 6, 6, 5]","[5, 5, 5, 5]","[4, 4, 4, 4]"
336,well (water),2.5,6.5,5.0,6.5,6.25,3.75,4.0,"[2, 3, 2, 3]","[6, 7, 7, 6]","[5, 5, 5, 5]","[7, 6, 6, 7]","[6, 7, 6, 6]","[4, 4, 3, 4]","[4, 4, 4, 4]"
337,spinach,1.75,5.75,4.25,7.0,7.0,2.0,4.0,"[1, 2, 2, 2]","[6, 6, 6, 5]","[4, 4, 5, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[2, 2, 2, 2]","[4, 4, 4, 4]"
338,fascinating,6.0,7.75,6.25,2.75,3.75,4.25,4.0,"[5, 6, 6, 7]","[8, 8, 7, 8]","[6, 6, 7, 6]","[3, 3, 2, 3]","[4, 4, 4, 3]","[4, 5, 4, 4]","[4, 4, 4, 4]"
339,tickle,4.75,6.25,5.0,5.5,6.0,2.5,4.0,"[4, 5, 5, 5]","[6, 7, 6, 6]","[5, 5, 6, 4]","[6, 5, 5, 6]","[6, 6, 6, 6]","[2, 2, 3, 3]","[4, 4, 4, 4]"
340,fireworks,7.25,7.25,5.75,7.0,7.0,4.25,4.0,"[7, 8, 7, 7]","[7, 8, 7, 7]","[6, 6, 6, 5]","[7, 7, 7, 7]","[7, 7, 7, 7]","[5, 4, 4, 4]","[4, 4, 4, 4]"
341,trace (small amount),2.0,4.75,4.25,4.5,4.25,2.0,4.0,"[2, 2, 2, 2]","[5, 5, 5, 4]","[4, 4, 5, 4]","[5, 4, 4, 5]","[4, 4, 5, 4]","[2, 2, 2, 2]","[4, 4, 4, 4]"
342,agony,7.5,1.75,2.0,3.25,5.25,4.25,4.0,"[8, 7, 8, 7]","[2, 1, 2, 2]","[2, 2, 2, 2]","[4, 3, 2, 4]","[5, 6, 5, 5]","[4, 5, 4, 4]","[4, 4, 4, 4]"
343,hold,3.0,5.0,5.75,4.75,4.75,3.75,4.0,"[3, 3, 3, 3]","[5, 5, 5, 5]","[5, 6, 6, 6]","[5, 5, 4, 5]","[5, 5, 5, 4]","[3, 4, 4, 4]","[4, 4, 4, 4]"
344,friend,4.25,8.25,6.0,4.75,6.75,4.0,4.0,"[4, 4, 4, 5]","[8, 9, 8, 8]","[6, 5, 7, 6]","[5, 4, 4, 6]","[7, 7, 7, 6]","[4, 4, 4, 4]","[4, 4, 4, 4]"
345,set (determined),4.25,6.25,6.25,3.25,3.75,4.0,4.0,"[4, 5, 4, 4]","[6, 7, 6, 6]","[6, 6, 7, 6]","[4, 3, 3, 3]","[4, 4, 4, 3]","[4, 4, 4, 4]","[4, 4, 4, 4]"
346,dope,5.0,3.25,2.75,5.0,4.25,3.0,4.0,"[5, 5, 5, 5]","[3, 3, 4, 3]","[3, 3, 2, 3]","[5, 5, 5, 5]","[4, 5, 4, 4]","[3, 3, 3, 3]","[4, 4, 4, 4]"
347,chameleon,3.25,5.75,4.5,7.0,6.75,3.0,4.0,"[3, 3, 3, 4]","[6, 6, 5, 6]","[4, 5, 5, 4]","[7, 7, 7, 7]","[7, 7, 7, 6]","[3, 3, 3, 3]","[4, 4, 4, 4]"
348,goldfish,2.25,6.25,3.5,7.0,7.0,2.0,3.75,"[2, 2, 2, 3]","[6, 6, 6, 7]","[4, 3, 4, 3]","[7, 7, 7, 7]","[7, 7, 7, 7]","[2, 2, 2, 2]","[4, 4, 3, 4]"
349,varnish,2.0,5.0,4.25,6.75,6.0,3.0,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[4, 4, 5, 4]","[7, 7, 6, 7]","[6, 6, 6, 6]","[3, 3, 3, 3]","[4, 4, 4, 4]"
350,lumber,2.0,4.5,4.0,6.5,5.75,4.25,4.5,"[2, 2, 2, 2]","[5, 4, 5, 4]","[4, 4, 4, 4]","[7, 7, 6, 6]","[6, 6, 6, 5]","[4, 5, 4, 4]","[4, 4, 5, 5]"
351,granite,1.75,5.25,4.75,7.0,6.5,5.0,4.0,"[2, 1, 2, 2]","[5, 6, 5, 5]","[5, 5, 5, 4]","[7, 7, 7, 7]","[7, 7, 6, 6]","[5, 5, 5, 5]","[4, 4, 4, 4]"
352,stock,3.0,5.25,5.25,5.0,4.75,4.0,4.0,"[3, 3, 3, 3]","[5, 6, 5, 5]","[5, 5, 6, 5]","[5, 5, 5, 5]","[5, 5, 5, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]"
353,jazz,5.25,6.75,5.75,5.25,6.0,3.75,4.0,"[5, 5, 5, 6]","[7, 7, 6, 7]","[6, 6, 6, 5]","[5, 5, 5, 6]","[6, 6, 6, 6]","[3, 4, 4, 4]","[4, 4, 4, 4]"
354,mint (money),4.75,7.0,6.25,5.5,5.5,3.75,4.0,"[4, 5, 5, 5]","[7, 7, 7, 7]","[6, 6, 7, 6]","[6, 5, 5, 6]","[6, 6, 5, 5]","[4, 4, 3, 4]","[4, 4, 4, 4]"
355,vowel,2.0,5.0,5.0,4.25,3.5,3.0,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[5, 1, 5, 6]","[4, 4, 3, 3]","[3, 4, 2, 3]","[4, 4, 4, 4]"
356,give,3.75,7.25,5.5,3.75,5.0,3.75,3.75,"[4, 4, 3, 4]","[7, 8, 7, 7]","[5, 5, 6, 6]","[4, 4, 3, 4]","[5, 5, 5, 5]","[3, 4, 4, 4]","[4, 4, 3, 4]"
357,upset (sad),5.25,2.75,2.75,3.0,5.0,3.25,3.5,"[6, 6, 6, 3]","[3, 2, 3, 3]","[3, 2, 3, 3]","[4, 3, 2, 3]","[5, 5, 5, 5]","[3, 4, 3, 3]","[4, 4, 3, 3]"
358,talent,4.75,7.25,6.75,3.5,4.75,4.0,4.0,"[4, 5, 5, 5]","[7, 8, 7, 7]","[7, 7, 7, 6]","[4, 3, 3, 4]","[5, 5, 5, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]"
359,dumb,3.75,2.75,2.5,3.25,4.0,3.0,4.0,"[4, 4, 5, 2]","[3, 2, 3, 3]","[3, 2, 3, 2]","[4, 3, 3, 3]","[4, 5, 4, 3]","[3, 3, 3, 3]","[4, 4, 4, 4]"
360,insanity,7.25,2.25,2.0,3.0,4.5,4.5,4.0,"[7, 7, 8, 7]","[2, 3, 2, 2]","[2, 2, 2, 2]","[4, 2, 2, 4]","[5, 5, 4, 4]","[4, 5, 5, 4]","[4, 4, 4, 4]"
361,treat,5.25,7.25,6.0,5.0,5.5,3.5,4.0,"[4, 6, 5, 6]","[7, 8, 7, 7]","[6, 6, 6, 6]","[5, 5, 5, 5]","[5, 6, 6, 5]","[3, 3, 4, 4]","[4, 4, 4, 4]"
362,liar,5.75,2.0,2.75,4.5,5.25,3.0,4.0,"[6, 6, 6, 5]","[2, 2, 2, 2]","[3, 3, 3, 2]","[4, 5, 4, 5]","[5, 6, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
363,street,3.25,5.25,5.0,6.75,6.75,4.5,4.0,"[3, 3, 4, 3]","[5, 6, 5, 5]","[5, 5, 5, 5]","[7, 7, 6, 7]","[7, 7, 7, 6]","[4, 5, 5, 4]","[4, 4, 4, 4]"
364,apathy,2.0,2.75,2.75,2.5,3.25,3.5,4.0,"[3, 2, 1, 2]","[3, 2, 3, 3]","[3, 2, 3, 3]","[3, 2, 2, 3]","[4, 4, 3, 2]","[3, 4, 3, 4]","[4, 4, 4, 4]"
365,relative,3.0,5.0,5.0,4.25,4.5,4.0,4.0,"[3, 3, 3, 3]","[5, 5, 5, 5]","[5, 5, 5, 5]","[4, 4, 4, 5]","[5, 5, 4, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]"
366,dandruff,2.5,2.25,2.5,6.75,6.0,1.75,4.0,"[2, 3, 3, 2]","[3, 2, 2, 2]","[2, 2, 3, 3]","[7, 7, 6, 7]","[6, 6, 6, 6]","[2, 2, 2, 1]","[4, 4, 4, 4]"
367,handbag,2.25,5.25,4.25,7.0,7.0,3.0,2.0,"[2, 2, 2, 3]","[5, 6, 5, 5]","[4, 4, 5, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[3, 3, 3, 3]","[3, 1, 2, 2]"
368,mystery,5.5,5.75,5.5,2.5,4.5,4.25,4.0,"[5, 6, 5, 6]","[6, 5, 6, 6]","[5, 6, 6, 5]","[3, 2, 2, 3]","[5, 5, 4, 4]","[4, 4, 5, 4]","[4, 4, 4, 4]"
369,expand,3.75,6.25,6.0,3.5,4.0,4.75,4.0,"[3, 4, 4, 4]","[6, 7, 6, 6]","[6, 6, 6, 6]","[4, 4, 3, 3]","[4, 4, 4, 4]","[5, 5, 5, 4]","[4, 4, 4, 4]"
370,pick,3.0,5.25,5.0,4.75,5.0,3.0,4.0,"[3, 3, 3, 3]","[5, 6, 5, 5]","[5, 5, 5, 5]","[5, 5, 4, 5]","[5, 5, 5, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
371,conquest,6.25,5.0,7.0,4.25,4.5,5.5,5.0,"[6, 6, 7, 6]","[6, 6, 4, 4]","[7, 7, 7, 7]","[4, 4, 4, 5]","[4, 5, 5, 4]","[5, 6, 6, 5]","[4, 6, 5, 5]"
372,reserve,3.0,5.5,5.25,4.0,4.0,4.0,4.0,"[3, 3, 3, 3]","[6, 6, 5, 5]","[5, 5, 6, 5]","[4, 4, 4, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]"
373,postman,3.0,5.75,4.25,6.75,6.75,3.5,5.5,"[3, 3, 3, 3]","[6, 6, 6, 5]","[4, 4, 5, 4]","[7, 7, 6, 7]","[7, 7, 7, 6]","[3, 4, 4, 3]","[5, 6, 5, 6]"
374,lager,3.5,6.0,4.5,7.0,6.0,3.0,5.0,"[3, 3, 4, 4]","[6, 6, 6, 6]","[5, 4, 5, 4]","[7, 7, 7, 7]","[6, 6, 6, 6]","[3, 3, 3, 3]","[4, 6, 5, 5]"
375,broom,2.0,5.25,4.25,7.0,7.0,3.0,3.0,"[2, 2, 2, 2]","[5, 6, 5, 5]","[4, 4, 5, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[3, 3, 3, 3]","[3, 3, 3, 3]"
376,super,5.0,7.25,6.75,2.75,4.25,4.5,4.0,"[4, 5, 5, 6]","[7, 8, 7, 7]","[7, 7, 7, 6]","[3, 3, 3, 2]","[4, 5, 4, 4]","[4, 5, 5, 4]","[4, 4, 4, 4]"
377,gay (joyous),5.75,7.5,6.25,3.25,5.0,4.0,4.0,"[5, 6, 5, 7]","[8, 8, 7, 7]","[6, 6, 7, 6]","[4, 3, 3, 3]","[5, 5, 5, 5]","[4, 4, 4, 4]","[4, 4, 4, 4]"
378,starving,6.5,1.75,2.25,4.5,5.75,4.0,4.0,"[6, 7, 7, 6]","[2, 1, 2, 2]","[3, 2, 2, 2]","[5, 4, 4, 5]","[6, 6, 6, 5]","[4, 4, 4, 4]","[4, 4, 4, 4]"
379,prune,2.0,5.0,4.25,6.75,6.0,2.0,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[4, 4, 5, 4]","[7, 7, 6, 7]","[6, 6, 6, 6]","[2, 2, 2, 2]","[4, 4, 4, 4]"
380,sweatshirt,2.25,5.25,4.25,7.0,7.0,3.0,4.0,"[2, 2, 2, 3]","[5, 6, 5, 5]","[4, 4, 5, 4]","[7, 7, 7, 7]","[7, 7, 7, 7]","[3, 3, 3, 3]","[4, 4, 4, 4]"
381,adjective,2.0,5.0,5.0,3.5,3.25,3.0,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[3, 1, 4, 6]","[4, 4, 3, 2]","[3, 4, 2, 3]","[4, 4, 4, 4]"
382,body,4.0,5.5,5.0,7.0,6.75,4.5,4.0,"[4, 4, 4, 4]","[6, 6, 5, 5]","[5, 5, 5, 5]","[7, 7, 7, 7]","[7, 7, 7, 6]","[4, 5, 4, 5]","[4, 4, 4, 4]"
383,ammunition,6.75,3.25,5.75,6.75,6.0,4.5,5.0,"[7, 7, 7, 6]","[4, 3, 3, 3]","[6, 6, 4, 7]","[7, 7, 6, 7]","[6, 6, 6, 6]","[5, 4, 5, 4]","[4, 6, 5, 5]"
384,maize,1.75,5.75,4.25,6.75,6.0,3.0,4.0,"[1, 2, 2, 2]","[6, 6, 6, 5]","[4, 4, 5, 4]","[7, 7, 6, 7]","[6, 6, 6, 6]","[3, 3, 3, 3]","[4, 4, 4, 4]"
385,edifice,3.0,5.5,5.75,6.75,5.5,6.0,4.0,"[3, 3, 3, 3]","[6, 6, 5, 5]","[5, 6, 6, 6]","[7, 7, 6, 7]","[6, 6, 5, 5]","[6, 6, 6, 6]","[4, 4, 4, 4]"
386,hound (dog),3.75,5.75,4.5,6.75,6.75,3.5,4.5,"[3, 4, 4, 4]","[6, 6, 5, 6]","[4, 5, 5, 4]","[7, 7, 6, 7]","[7, 7, 7, 6]","[3, 4, 4, 3]","[4, 5, 5, 4]"
387,skill,4.0,7.25,6.5,3.5,4.75,4.0,4.0,"[4, 4, 4, 4]","[7, 8, 7, 7]","[6, 7, 7, 6]","[4, 3, 3, 4]","[5, 5, 5, 4]","[4, 4, 4, 4]","[4, 4, 4, 4]"
388,interview,5.25,5.25,5.25,4.25,5.25,4.0,4.0,"[5, 5, 5, 6]","[5, 6, 5, 5]","[5, 5, 6, 5]","[4, 4, 4, 5]","[5, 5, 6, 5]","[4, 4, 4, 4]","[4, 4, 4, 4]"
389,close (near),2.75,5.5,5.0,4.75,4.75,3.25,4.0,"[3, 2, 3, 3]","[6, 6, 5, 5]","[5, 5, 5, 5]","[5, 5, 4, 5]","[5, 5, 5, 4]","[3, 4, 3, 3]","[4, 4, 4, 4]"
390,riches,5.25,7.5,6.75,4.75,4.75,5.0,4.0,"[4, 6, 5, 6]","[8, 8, 7, 7]","[7, 7, 7, 6]","[5, 4, 5, 5]","[5, 5, 5, 4]","[5, 5, 5, 5]","[4, 4, 4, 4]"
391,groom (look after),3.25,7.0,5.0,4.5,5.25,3.5,4.0,"[3, 3, 3, 4]","[7, 8, 7, 6]","[5, 5, 6, 4]","[5, 4, 4, 5]","[5, 6, 5, 5]","[3, 3, 4, 4]","[4, 5, 3, 4]"
392,crook,5.0,2.0,2.75,5.25,5.25,3.0,4.25,"[5, 5, 6, 4]","[2, 2, 2, 2]","[3, 3, 3, 2]","[5, 5, 5, 6]","[5, 6, 5, 5]","[3, 3, 3, 3]","[4, 4, 5, 4]"
393,metre,2.0,5.0,5.0,6.0,4.75,3.5,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[5, 5, 5, 5]","[6, 6, 5, 7]","[5, 5, 5, 4]","[3, 4, 3, 4]","[4, 4, 4, 4]"
394,tempest,6.25,3.25,4.5,5.25,5.25,5.25,4.0,"[6, 7, 6, 6]","[3, 4, 3, 3]","[5, 6, 4, 3]","[5, 5, 5, 6]","[5, 6, 5, 5]","[5, 6, 5, 5]","[4, 4, 4, 4]"
395,circumstances,4.0,5.0,5.0,3.25,3.75,4.25,4.0,"[4, 4, 4, 4]","[5, 5, 5, 5]","[5, 5, 5, 5]","[3, 3, 3, 4]","[4, 4, 4, 3]","[4, 5, 4, 4]","[4, 4, 4, 4]"
396,colony,3.25,5.25,5.25,5.25,5.5,5.0,4.0,"[3, 3, 3, 4]","[5, 6, 5, 5]","[5, 5, 6, 5]","[5, 5, 5, 6]","[6, 6, 5, 5]","[5, 5, 5, 5]","[4, 4, 4, 4]"
397,pitch (tar),3.0,4.0,4.25,6.5,5.75,3.25,4.0,"[3, 3, 3, 3]","[4, 4, 4, 4]","[4, 4, 5, 4]","[7, 6, 6, 7]","[6, 6, 6, 5]","[3, 4, 3, 3]","[4, 4, 4, 4]"
398,bottom,2.75,4.25,3.75,6.0,6.0,3.25,4.0,"[2, 3, 3, 3]","[4, 4, 5, 4]","[3, 3, 5, 4]","[6, 6, 6, 6]","[6, 6, 6, 6]","[3, 4, 3, 3]","[4, 4, 4, 4]"
399,reassure,4.0,7.5,6.25,3.0,4.25,4.0,3.75,"[3, 4, 4, 5]","[8, 8, 7, 7]","[6, 6, 7, 6]","[3, 3, 3, 3]","[4, 5, 4, 4]","[4, 4, 4, 4]","[4, 4, 3, 4]"
400,ass (insult),5.0,2.25,2.75,4.25,4.25,3.0,4.5,"[5, 5, 6, 4]","[2, 2, 3, 2]","[3, 3, 3, 2]","[4, 4, 4, 5]","[4, 5, 4, 4]","[3, 3, 3, 3]","[4, 4, 5, 5]"
401,holy,4.0,7.25,6.25,3.0,4.75,3.75,4.0,"[4, 4, 4, 4]","[7, 7, 7, 8]","[6, 7, 6, 6]","[3, 2, 3, 4]","[5, 5, 5, 4]","[4, 4, 3, 4]","[4, 4, 4, 4]"
402,wound,6.5,2.0,2.5,5.75,6.0,3.0,4.25,"[6, 7, 7, 6]","[2, 2, 2, 2]","[2, 3, 2, 3]","[5, 6, 6, 6]","[6, 6, 6, 6]","[3, 3, 3, 3]","[4, 5, 4, 4]"
403,curb,2.75,4.5,4.5,6.0,5.75,3.0,4.0,"[3, 2, 3, 3]","[5, 4, 5, 4]","[4, 5, 4, 5]","[6, 6, 6, 6]","[6, 6, 6, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
404,doubt,4.5,3.25,3.75,2.75,3.5,2.75,4.0,"[4, 5, 5, 4]","[3, 3, 4, 3]","[3, 4, 4, 4]","[2, 2, 3, 4]","[4, 3, 4, 3]","[3, 3, 2, 3]","[4, 4, 4, 4]"
405,fortunate,4.5,8.0,7.0,2.75,4.0,3.25,4.0,"[5, 5, 3, 5]","[8, 8, 8, 8]","[7, 7, 7, 7]","[3, 2, 3, 3]","[4, 4, 4, 4]","[3, 3, 3, 4]","[4, 4, 4, 4]"
406,dirty,4.5,2.0,3.0,4.5,5.75,2.75,4.0,"[5, 4, 5, 4]","[2, 2, 2, 2]","[3, 3, 3, 3]","[4, 4, 5, 5]","[6, 5, 6, 6]","[3, 3, 2, 3]","[4, 4, 4, 4]"
407,urge,5.25,4.75,5.25,3.0,3.75,2.75,4.0,"[6, 5, 5, 5]","[5, 4, 5, 5]","[5, 5, 5, 6]","[2, 3, 3, 4]","[4, 4, 4, 3]","[3, 3, 2, 3]","[4, 4, 4, 4]"
408,mass (weight),3.0,5.0,4.75,5.25,5.0,4.25,4.0,"[3, 3, 3, 3]","[5, 5, 5, 5]","[4, 5, 5, 5]","[5, 5, 5, 6]","[5, 5, 5, 5]","[4, 4, 5, 4]","[4, 4, 4, 4]"
409,therapist,3.5,7.0,6.0,5.75,5.5,3.5,3.75,"[4, 4, 3, 3]","[7, 7, 7, 7]","[6, 6, 6, 6]","[5, 5, 6, 7]","[6, 5, 6, 5]","[3, 4, 3, 4]","[4, 3, 4, 4]"
410,rape,8.5,1.0,1.0,4.25,5.0,4.0,5.25,"[8, 9, 9, 8]","[1, 1, 1, 1]","[1, 1, 1, 1]","[4, 4, 4, 5]","[4, 4, 5, 7]","[5, 3, 4, 4]","[6, 6, 4, 5]"
411,billion,3.5,5.25,5.25,4.0,3.25,7.0,4.0,"[3, 3, 4, 4]","[6, 5, 5, 5]","[5, 5, 6, 5]","[3, 4, 4, 5]","[3, 3, 4, 3]","[7, 7, 7, 7]","[4, 4, 4, 4]"
412,zoo,5.0,6.25,4.75,7.0,7.0,5.0,4.0,"[5, 5, 5, 5]","[6, 6, 6, 7]","[4, 5, 5, 5]","[7, 7, 7, 7]","[7, 7, 7, 7]","[5, 5, 5, 5]","[4, 4, 4, 4]"
413,careful,3.25,7.0,5.75,2.75,4.0,2.75,3.5,"[3, 4, 3, 3]","[7, 7, 7, 7]","[5, 6, 6, 6]","[3, 2, 3, 3]","[4, 4, 4, 4]","[3, 3, 2, 3]","[4, 3, 4, 3]"
414,trellis,2.0,5.0,4.25,6.75,5.5,2.75,4.0,"[2, 2, 2, 2]","[5, 5, 5, 5]","[4, 4, 5, 4]","[6, 7, 7, 7]","[5, 6, 6, 5]","[3, 3, 2, 3]","[4, 4, 4, 4]"
415,cross (an object),3.5,5.0,4.25,6.75,6.5,2.75,4.0,"[4, 3, 4, 3]","[5, 5, 5, 5]","[4, 4, 5, 4]","[6, 7, 7, 7]","[6, 7, 7, 6]","[3, 3, 2, 3]","[4, 4, 4, 4]"
416,fighter,7.0,3.75,6.75,5.25,6.25,4.75,5.5,"[7, 7, 7, 7]","[3, 4, 4, 4]","[7, 6, 7, 7]","[5, 5, 5, 6]","[6, 7, 6, 6]","[5, 4, 5, 5]","[6, 6, 5, 5]"
417,chess,3.0,5.5,5.25,5.75,5.75,3.0,4.0,"[3, 3, 3, 3]","[6, 5, 5, 6]","[5, 6, 5, 5]","[6, 5, 6, 6]","[6, 6, 6, 5]","[3, 3, 3, 3]","[4, 4, 4, 4]"
418,illustration,3.0,6.0,4.75,5.75,6.0,3.0,4.0,"[3, 3, 3, 3]","[6, 6, 6, 6]","[5, 5, 5, 4]","[6, 5, 6, 6]","[6, 6, 6, 6]","[3, 3, 3, 3]","[4, 4, 4, 4]"
419,winner,5.75,8.0,7.5,4.5,5.0,3.75,4.25,"[6, 6, 5, 6]","[8, 8, 8, 8]","[7, 8, 8, 7]","[4, 4, 5, 5]","[5, 5, 5, 5]","[4, 3, 4, 4]","[4, 5, 4, 4]"
