Word,Auditory_mean,Gustatory_mean,Haptic_mean,Interoceptive_mean,Olfactory_mean,Visual_mean,Auditory_by_runs,Gustatory_by_runs,Haptic_by_runs,Interoceptive_by_runs,Olfactory_by_runs,Visual_by_runs,Foot/leg_mean,Hand/arm_mean,Torso_mean,Head_mean,Mouth/throat_mean,Foot/leg_by_runs,Hand/arm_by_runs,Torso_by_runs,Head_by_runs,Mouth/throat_by_runs
discretion,1.75,0.75,2,1.5,1.25,2.25,"[2.0, 2.0, 2.0, 1.0]","[0.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 1.0, 2.0]","[1.0, 2.0, 1.0, 1.0]","[2.0, 2.0, 3.0, 2.0]",1.75,2,2.25,3,0.5,"[3.0, 1.0, 2.0, 1.0]","[1.0, 3.0, 3.0, 1.0]","[2.0, 2.0, 3.0, 2.0]","[1.0, 4.0, 4.0, 3.0]","[0.0, 0.0, 1.0, 1.0]"
disdain,2.5,0.5,2.75,2.5,1.25,3.5,"[2.0, 3.0, 3.0, 2.0]","[1.0, 0.0, 0.0, 1.0]","[4.0, 2.0, 3.0, 2.0]","[3.0, 2.0, 2.0, 3.0]","[2.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 2.0]",1,2,2,2.75,0.25,"[0.0, 2.0, 1.0, 1.0]","[2.0, 1.0, 2.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 3.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 1.0]"
disease,2,2,3.5,3.5,2.25,3,"[2.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 4.0, 1.0]","[3.0, 4.0, 4.0, 3.0]","[4.0, 3.0, 3.0, 4.0]","[3.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 4.0, 2.0]",2,2,2.5,2.75,2,"[2.0, 4.0, 0.0, 2.0]","[2.0, 2.0, 1.0, 3.0]","[3.0, 2.0, 2.0, 3.0]","[3.0, 3.0, 2.0, 3.0]","[4.0, 0.0, 2.0, 2.0]"
diseased,2,0.75,2.5,3.75,3.25,3.25,"[2.0, 2.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 1.0]","[3.0, 2.0, 3.0, 2.0]","[4.0, 3.0, 4.0, 4.0]","[2.0, 2.0, 5.0, 4.0]","[4.0, 3.0, 3.0, 3.0]",1.5,1.75,2.25,3.25,2.5,"[1.0, 2.0, 2.0, 1.0]","[2.0, 2.0, 2.0, 1.0]","[2.0, 3.0, 2.0, 2.0]","[4.0, 3.0, 3.0, 3.0]","[3.0, 2.0, 3.0, 2.0]"
disgust,2,1.75,3.5,4,3.5,2.5,"[1.0, 2.0, 2.0, 3.0]","[4.0, 1.0, 1.0, 1.0]","[4.0, 3.0, 3.0, 4.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 2.0]","[2.0, 2.0, 3.0, 3.0]",1.75,2.75,2.5,3.25,4,"[2.0, 2.0, 2.0, 1.0]","[2.0, 2.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 3.0, 4.0, 4.0]","[4.0, 3.0, 4.0, 5.0]"
disgusted,3,2.5,3.75,3.5,3,3,"[3.0, 2.0, 3.0, 4.0]","[1.0, 0.0, 4.0, 5.0]","[3.0, 4.0, 4.0, 4.0]","[4.0, 3.0, 3.0, 4.0]","[3.0, 2.0, 3.0, 4.0]","[3.0, 3.0, 3.0, 3.0]",2,2.75,3.25,3.5,3.25,"[2.0, 2.0, 3.0, 1.0]","[2.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 3.0, 4.0]","[3.0, 3.0, 4.0, 4.0]","[5.0, 2.0, 1.0, 5.0]"
disgusting,2.5,1.75,3.75,3.25,3.5,3.25,"[3.0, 1.0, 3.0, 3.0]","[4.0, 1.0, 2.0, 0.0]","[4.0, 4.0, 4.0, 3.0]","[3.0, 4.0, 4.0, 2.0]","[4.0, 3.0, 4.0, 3.0]","[3.0, 3.0, 4.0, 3.0]",2.25,2.25,2.5,2.25,3,"[3.0, 1.0, 2.0, 3.0]","[3.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 0.0]","[4.0, 4.0, 4.0, 0.0]"
dish,2,2.75,3.75,2.5,2.5,3.25,"[2.0, 2.0, 2.0, 2.0]","[3.0, 0.0, 4.0, 4.0]","[4.0, 4.0, 3.0, 4.0]","[3.0, 2.0, 2.0, 3.0]","[2.0, 2.0, 3.0, 3.0]","[4.0, 2.0, 4.0, 3.0]",2,2.5,2.25,2.75,1,"[2.0, 2.0, 2.0, 2.0]","[3.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 3.0]","[4.0, 2.0, 2.0, 3.0]","[0.0, 2.0, 1.0, 1.0]"
disloyal,2.25,0.5,2.5,2.25,1.5,3.25,"[2.0, 2.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 2.0]","[2.0, 4.0, 2.0, 2.0]","[1.0, 4.0, 2.0, 2.0]","[2.0, 0.0, 2.0, 2.0]","[3.0, 4.0, 3.0, 3.0]",2.25,1.75,2.25,2,1,"[3.0, 0.0, 2.0, 4.0]","[2.0, 0.0, 2.0, 3.0]","[2.0, 2.0, 2.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]"
dismiss,1.75,0.5,3.5,2.25,1,3.25,"[2.0, 2.0, 2.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 2.0]","[2.0, 2.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[4.0, 3.0, 4.0, 2.0]",2.5,2,2.5,2.75,0,"[4.0, 2.0, 1.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 2.0, 2.0]","[3.0, 2.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]"
disparity,2,0.75,2.5,2.25,1,3,"[2.0, 2.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 1.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 3.0]","[1.0, 0.0, 1.0, 2.0]","[2.0, 3.0, 3.0, 4.0]",1.75,2.25,2.5,2.75,0,"[2.0, 1.0, 1.0, 3.0]","[2.0, 3.0, 2.0, 2.0]","[3.0, 2.0, 2.0, 3.0]","[3.0, 2.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]"
displeased,3,0.75,2.5,2.5,2,2.5,"[3.0, 3.0, 4.0, 2.0]","[1.0, 1.0, 0.0, 1.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 2.0, 2.0, 3.0]",2.25,2.5,2.5,2.5,1,"[2.0, 3.0, 1.0, 3.0]","[2.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 2.0, 3.0]","[2.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 0.0, 1.0]"
dispose,2,0.5,2,2.75,1.25,3.25,"[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 0.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 2.0]","[1.0, 1.0, 2.0, 1.0]","[3.0, 3.0, 4.0, 3.0]",1.75,2,1.75,1.5,0,"[1.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 2.0, 3.0]","[1.0, 2.0, 2.0, 2.0]","[0.0, 3.0, 2.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
disposition,2.25,1,2.5,2.5,2,3,"[2.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 0.0, 2.0]","[1.0, 3.0, 3.0, 3.0]","[1.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 3.0]",2.5,2.5,2.75,3.5,1.25,"[2.0, 2.0, 1.0, 5.0]","[1.0, 2.0, 3.0, 4.0]","[3.0, 3.0, 3.0, 2.0]","[4.0, 3.0, 4.0, 3.0]","[1.0, 1.0, 2.0, 1.0]"
dissent,2.75,0.75,2.75,2.75,1.5,2.75,"[3.0, 4.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 0.0]","[2.0, 3.0, 4.0, 2.0]","[2.0, 3.0, 4.0, 2.0]","[1.0, 2.0, 2.0, 1.0]","[2.0, 2.0, 3.0, 4.0]",2.25,2.5,2.5,2.75,1,"[1.0, 2.0, 3.0, 3.0]","[2.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 4.0, 2.0, 3.0]","[0.0, 3.0, 0.0, 1.0]"
dissident,2.5,0.75,2.25,2,1.25,3,"[1.0, 2.0, 3.0, 4.0]","[1.0, 1.0, 0.0, 1.0]","[1.0, 2.0, 4.0, 2.0]","[1.0, 2.0, 3.0, 2.0]","[1.0, 1.0, 2.0, 1.0]","[2.0, 3.0, 4.0, 3.0]",2,2,2.5,3.25,0.75,"[2.0, 2.0, 2.0, 2.0]","[2.0, 1.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[3.0, 3.0, 4.0, 3.0]","[0.0, 2.0, 0.0, 1.0]"
distant,3.75,0.5,1.75,1.25,1.5,2.75,"[4.0, 4.0, 5.0, 2.0]","[1.0, 0.0, 0.0, 1.0]","[2.0, 2.0, 0.0, 3.0]","[2.0, 2.0, 0.0, 1.0]","[2.0, 2.0, 0.0, 2.0]","[4.0, 3.0, 0.0, 4.0]",2.25,2.25,2.75,2.5,0.5,"[3.0, 3.0, 1.0, 2.0]","[2.0, 2.0, 2.0, 3.0]","[2.0, 3.0, 3.0, 3.0]","[2.0, 4.0, 4.0, 0.0]","[0.0, 1.0, 1.0, 0.0]"
distinction,2.75,0.25,3,2,1.25,4,"[3.0, 2.0, 3.0, 3.0]","[0.0, 0.0, 1.0, 0.0]","[4.0, 3.0, 2.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0]",2.25,1.75,2,2.25,0.75,"[2.0, 1.0, 2.0, 4.0]","[1.0, 2.0, 1.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 2.0]","[0.0, 1.0, 1.0, 1.0]"
distinguish,2.5,0.75,2.25,2.5,1.75,3.75,"[2.0, 4.0, 3.0, 1.0]","[1.0, 1.0, 1.0, 0.0]","[2.0, 2.0, 3.0, 2.0]","[3.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 1.0]","[4.0, 3.0, 4.0, 4.0]",3,2.25,2.75,3.75,1.25,"[1.0, 3.0, 5.0, 3.0]","[2.0, 3.0, 1.0, 3.0]","[2.0, 3.0, 2.0, 4.0]","[4.0, 3.0, 4.0, 4.0]","[1.0, 1.0, 1.0, 2.0]"
distract,3,0.25,2.75,1.75,0.75,2.5,"[2.0, 4.0, 2.0, 4.0]","[0.0, 0.0, 1.0, 0.0]","[2.0, 3.0, 4.0, 2.0]","[1.0, 2.0, 3.0, 1.0]","[1.0, 1.0, 1.0, 0.0]","[3.0, 2.0, 3.0, 2.0]",2.25,3,2.5,3,1.25,"[3.0, 2.0, 2.0, 2.0]","[3.0, 4.0, 3.0, 2.0]","[3.0, 3.0, 2.0, 2.0]","[2.0, 4.0, 3.0, 3.0]","[2.0, 1.0, 1.0, 1.0]"
distraction,3.25,0.75,2.5,2,1,2.75,"[3.0, 3.0, 3.0, 4.0]","[1.0, 1.0, 1.0, 0.0]","[2.0, 3.0, 2.0, 3.0]","[1.0, 3.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 3.0, 4.0]",1.75,2.75,2.5,2.5,0.5,"[2.0, 2.0, 2.0, 1.0]","[3.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 3.0, 2.0]","[3.0, 2.0, 3.0, 2.0]","[0.0, 1.0, 1.0, 0.0]"
distress,4,0.5,4,3.5,2.25,2,"[4.0, 4.0, 4.0, 4.0]","[0.0, 1.0, 1.0, 0.0]","[5.0, 3.0, 4.0, 4.0]","[4.0, 3.0, 4.0, 3.0]","[3.0, 1.0, 2.0, 3.0]","[2.0, 2.0, 3.0, 1.0]",4,2.5,3.75,2.75,1.75,"[4.0, 4.0, 4.0, 4.0]","[2.0, 3.0, 3.0, 2.0]","[4.0, 4.0, 3.0, 4.0]","[3.0, 0.0, 4.0, 4.0]","[2.0, 0.0, 1.0, 4.0]"
distressed,2.75,0.75,4,3.75,1.25,2.25,"[2.0, 2.0, 3.0, 4.0]","[0.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0]","[3.0, 3.0, 4.0, 5.0]","[1.0, 1.0, 1.0, 2.0]","[2.0, 2.0, 3.0, 2.0]",2,1.75,3,4,1.75,"[3.0, 1.0, 2.0, 2.0]","[1.0, 1.0, 2.0, 3.0]","[4.0, 3.0, 3.0, 2.0]","[4.0, 4.0, 5.0, 3.0]","[1.0, 1.0, 5.0, 0.0]"
disturb,3.75,0.5,3.25,2.5,2,3,"[4.0, 3.0, 4.0, 4.0]","[1.0, 0.0, 0.0, 1.0]","[3.0, 3.0, 3.0, 4.0]","[2.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 3.0, 4.0, 3.0]",2.5,2,2.75,3.25,0.75,"[3.0, 4.0, 3.0, 0.0]","[3.0, 2.0, 2.0, 1.0]","[3.0, 2.0, 3.0, 3.0]","[4.0, 3.0, 3.0, 3.0]","[0.0, 2.0, 1.0, 0.0]"
disturbed,3,1.25,3.5,3.5,1.75,3,"[3.0, 2.0, 4.0, 3.0]","[2.0, 1.0, 1.0, 1.0]","[4.0, 3.0, 3.0, 4.0]","[3.0, 4.0, 3.0, 4.0]","[2.0, 1.0, 2.0, 2.0]","[3.0, 2.0, 4.0, 3.0]",2,2.75,2.5,3,1.5,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 3.0]","[2.0, 3.0, 4.0, 3.0]","[0.0, 2.0, 4.0, 0.0]"
ditch,2,0.75,3,2.25,1.75,3,"[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 1.0]","[3.0, 2.0, 3.0, 4.0]","[2.0, 2.0, 2.0, 3.0]","[2.0, 1.0, 2.0, 2.0]","[3.0, 3.0, 4.0, 2.0]",3.5,2.5,2.25,2.75,1.25,"[1.0, 4.0, 5.0, 4.0]","[1.0, 2.0, 4.0, 3.0]","[2.0, 3.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 4.0]","[1.0, 1.0, 1.0, 2.0]"
dive,2.5,1.25,4,3,2,3,"[2.0, 2.0, 3.0, 3.0]","[3.0, 1.0, 1.0, 0.0]","[4.0, 4.0, 4.0, 4.0]","[3.0, 3.0, 3.0, 3.0]","[2.0, 1.0, 3.0, 2.0]","[1.0, 3.0, 4.0, 4.0]",4,3.5,3,2.25,0.5,"[4.0, 4.0, 5.0, 3.0]","[3.0, 4.0, 4.0, 3.0]","[2.0, 4.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 0.0]"
diver,2.75,1,4.25,3.25,1.25,3.75,"[3.0, 3.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[5.0, 4.0, 4.0, 4.0]","[4.0, 3.0, 3.0, 3.0]","[2.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 3.0, 4.0]",3.75,2.75,3,2.75,1,"[5.0, 2.0, 4.0, 4.0]","[3.0, 3.0, 3.0, 2.0]","[4.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 3.0, 3.0]","[1.0, 2.0, 1.0, 0.0]"
diverse,2,1,3.5,2.25,1.25,3,"[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[3.0, 4.0, 3.0, 4.0]","[2.0, 3.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 2.0]","[3.0, 3.0, 3.0, 3.0]",2.75,3.75,2.75,2.5,1,"[3.0, 3.0, 4.0, 1.0]","[4.0, 4.0, 4.0, 3.0]","[3.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 3.0]","[1.0, 0.0, 1.0, 2.0]"
divert,2.25,0.75,2.5,2.25,1.5,3,"[3.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 1.0]","[2.0, 3.0, 3.0, 2.0]","[2.0, 3.0, 2.0, 2.0]","[1.0, 2.0, 2.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",2.75,2.5,2.5,2.25,1,"[2.0, 4.0, 2.0, 3.0]","[2.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 2.0]","[1.0, 2.0, 0.0, 1.0]"
divination,2,0.5,2.5,2.5,1.75,2.75,"[2.0, 2.0, 2.0, 2.0]","[1.0, 0.0, 0.0, 1.0]","[4.0, 2.0, 2.0, 2.0]","[3.0, 2.0, 2.0, 3.0]","[2.0, 2.0, 1.0, 2.0]","[3.0, 2.0, 4.0, 2.0]",1.75,2,2,3.25,0.75,"[1.0, 1.0, 3.0, 2.0]","[2.0, 1.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[4.0, 3.0, 3.0, 3.0]","[0.0, 1.0, 1.0, 1.0]"
divine,2.75,0.5,2.75,2.5,1.75,3.5,"[3.0, 2.0, 3.0, 3.0]","[0.0, 1.0, 1.0, 0.0]","[3.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 3.0, 2.0]","[2.0, 1.0, 2.0, 2.0]","[3.0, 3.0, 4.0, 4.0]",2.25,1.75,2.25,3.75,1.25,"[4.0, 2.0, 2.0, 1.0]","[2.0, 1.0, 2.0, 2.0]","[3.0, 2.0, 2.0, 2.0]","[3.0, 5.0, 3.0, 4.0]","[1.0, 0.0, 1.0, 3.0]"
divorce,2.75,0.75,2.75,2.75,1.75,3.25,"[2.0, 5.0, 3.0, 1.0]","[1.0, 1.0, 1.0, 0.0]","[3.0, 3.0, 3.0, 2.0]","[3.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 1.0]","[4.0, 3.0, 3.0, 3.0]",2.75,2,2.5,2.75,1.75,"[1.0, 3.0, 4.0, 3.0]","[1.0, 3.0, 1.0, 3.0]","[2.0, 3.0, 2.0, 3.0]","[4.0, 2.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 4.0]"
dizzy,2.75,0.25,4,3.25,2,2.75,"[4.0, 1.0, 2.0, 4.0]","[1.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 3.0, 4.0, 3.0]",4.25,2.25,2.75,2.75,0.75,"[4.0, 4.0, 4.0, 5.0]","[3.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 3.0, 4.0]","[0.0, 0.0, 2.0, 1.0]"
docile,2,0.25,3.5,1.75,1.25,3.25,"[2.0, 2.0, 2.0, 2.0]","[1.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 4.0, 3.0]","[2.0, 2.0, 2.0, 1.0]","[1.0, 1.0, 1.0, 2.0]","[3.0, 4.0, 3.0, 3.0]",2.25,1.75,2.75,2,0.75,"[1.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 1.0]","[3.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 1.0]"
dock,2.25,0.25,4,2,1.5,3.5,"[2.0, 2.0, 3.0, 2.0]","[0.0, 0.0, 1.0, 0.0]","[4.0, 4.0, 4.0, 4.0]","[2.0, 1.0, 2.0, 3.0]","[0.0, 2.0, 2.0, 2.0]","[3.0, 4.0, 3.0, 4.0]",2.5,2.5,1.75,1.75,0.75,"[3.0, 4.0, 1.0, 2.0]","[4.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 1.0, 2.0]","[2.0, 1.0, 2.0, 2.0]","[1.0, 0.0, 1.0, 1.0]"
doctor,2.75,0.25,3.25,3.75,1.5,3.5,"[3.0, 2.0, 3.0, 3.0]","[0.0, 0.0, 1.0, 0.0]","[3.0, 3.0, 3.0, 4.0]","[4.0, 3.0, 4.0, 4.0]","[2.0, 1.0, 2.0, 1.0]","[4.0, 3.0, 5.0, 2.0]",2,3.25,2.5,2.75,2.75,"[2.0, 1.0, 3.0, 2.0]","[2.0, 4.0, 3.0, 4.0]","[2.0, 2.0, 3.0, 3.0]","[3.0, 3.0, 2.0, 3.0]","[3.0, 3.0, 1.0, 4.0]"
doctrine,2.25,0.5,1.25,1.75,1,3.25,"[2.0, 3.0, 2.0, 2.0]","[1.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 2.0, 2.0]","[1.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[2.0, 4.0, 4.0, 3.0]",1.75,1.75,2.25,2,1,"[3.0, 1.0, 1.0, 2.0]","[2.0, 1.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]"
document,2.5,1,2.25,1.75,1.25,3.5,"[2.0, 2.0, 3.0, 3.0]","[2.0, 1.0, 0.0, 1.0]","[2.0, 2.0, 3.0, 2.0]","[2.0, 1.0, 2.0, 2.0]","[2.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 4.0, 4.0]",1.75,2.25,2.75,3.5,0.5,"[1.0, 2.0, 2.0, 2.0]","[2.0, 1.0, 4.0, 2.0]","[2.0, 3.0, 3.0, 3.0]","[3.0, 4.0, 4.0, 3.0]","[0.0, 1.0, 0.0, 1.0]"
dodgy,2.25,0.75,3,2.25,1.25,3,"[3.0, 2.0, 2.0, 2.0]","[2.0, 0.0, 1.0, 0.0]","[4.0, 2.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 2.0]","[1.0, 2.0, 1.0, 1.0]","[2.0, 3.0, 4.0, 3.0]",2.25,1.5,2,2.25,1,"[2.0, 1.0, 2.0, 4.0]","[2.0, 1.0, 1.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 3.0]","[1.0, 0.0, 1.0, 2.0]"
dog,3.75,1.75,4.25,3.25,2.75,4,"[4.0, 4.0, 4.0, 3.0]","[2.0, 2.0, 1.0, 2.0]","[5.0, 4.0, 4.0, 4.0]","[3.0, 3.0, 3.0, 4.0]","[4.0, 2.0, 3.0, 2.0]","[4.0, 4.0, 4.0, 4.0]",3.75,3,2.75,2.5,1,"[4.0, 3.0, 4.0, 4.0]","[3.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 2.0, 3.0]","[1.0, 2.0, 1.0, 0.0]"
dogma,1.75,0.75,2,2,1,2.5,"[2.0, 2.0, 2.0, 1.0]","[1.0, 1.0, 1.0, 0.0]","[3.0, 2.0, 1.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[3.0, 2.0, 2.0, 3.0]",2,2,2.5,3.25,0.5,"[1.0, 3.0, 2.0, 2.0]","[1.0, 4.0, 1.0, 2.0]","[3.0, 2.0, 3.0, 2.0]","[4.0, 4.0, 3.0, 2.0]","[0.0, 1.0, 1.0, 0.0]"
dole,2.25,0.5,2.5,2.5,1,2.5,"[2.0, 2.0, 3.0, 2.0]","[0.0, 0.0, 1.0, 1.0]","[2.0, 2.0, 3.0, 3.0]","[3.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 3.0, 3.0]",2.25,2,2.25,1.75,0.25,"[2.0, 2.0, 2.0, 3.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 2.0]","[2.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 1.0]"
doll,1.75,0.75,3.5,2.5,1.75,3,"[2.0, 2.0, 1.0, 2.0]","[1.0, 2.0, 0.0, 0.0]","[4.0, 4.0, 3.0, 3.0]","[3.0, 3.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 1.0]","[2.0, 3.0, 4.0, 3.0]",1.5,2,1.5,2.25,0.5,"[2.0, 1.0, 2.0, 1.0]","[2.0, 3.0, 2.0, 1.0]","[2.0, 1.0, 2.0, 1.0]","[2.0, 3.0, 2.0, 2.0]","[0.0, 0.0, 1.0, 1.0]"
dollar,2.5,1,2,2,1,3.75,"[2.0, 3.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0]","[3.0, 4.0, 4.0, 4.0]",2.25,2.75,2.25,2.5,1,"[2.0, 2.0, 1.0, 4.0]","[3.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 1.0, 3.0]","[2.0, 3.0, 2.0, 3.0]","[1.0, 2.0, 1.0, 0.0]"
dolphin,4,0.5,3,2.25,1.5,3.75,"[4.0, 4.0, 4.0, 4.0]","[0.0, 1.0, 0.0, 1.0]","[2.0, 4.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 2.0]","[1.0, 2.0, 2.0, 1.0]","[3.0, 4.0, 4.0, 4.0]",2.25,1.75,1.75,1.5,0.5,"[2.0, 4.0, 3.0, 0.0]","[2.0, 3.0, 2.0, 0.0]","[2.0, 3.0, 2.0, 0.0]","[2.0, 2.0, 2.0, 0.0]","[0.0, 1.0, 1.0, 0.0]"
dome,2.25,0.75,3.75,2.5,1.5,3.5,"[2.0, 3.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 1.0]","[4.0, 4.0, 4.0, 3.0]","[2.0, 2.0, 3.0, 3.0]","[1.0, 2.0, 2.0, 1.0]","[3.0, 4.0, 3.0, 4.0]",3.5,2.75,2.5,2.25,0.75,"[3.0, 4.0, 4.0, 3.0]","[2.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 3.0, 2.0]","[2.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 0.0]"
dominate,3,0.5,3,2.75,1.25,3.25,"[3.0, 3.0, 3.0, 3.0]","[1.0, 1.0, 0.0, 0.0]","[3.0, 3.0, 4.0, 2.0]","[4.0, 2.0, 3.0, 2.0]","[2.0, 1.0, 1.0, 1.0]","[3.0, 2.0, 4.0, 4.0]",3.75,3,3,3,1,"[4.0, 3.0, 4.0, 4.0]","[4.0, 2.0, 3.0, 3.0]","[3.0, 3.0, 2.0, 4.0]","[3.0, 3.0, 3.0, 3.0]","[0.0, 2.0, 1.0, 1.0]"
donkey,2.25,1.25,3.75,3,1.5,3.75,"[2.0, 2.0, 3.0, 2.0]","[2.0, 2.0, 0.0, 1.0]","[4.0, 4.0, 4.0, 3.0]","[3.0, 3.0, 2.0, 4.0]","[2.0, 2.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 3.0]",3,2,2.5,2,0.25,"[4.0, 4.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 3.0, 2.0, 3.0]","[1.0, 3.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 1.0]"
