Word,Auditory_mean,Gustatory_mean,Haptic_mean,Interoceptive_mean,Olfactory_mean,Visual_mean,Auditory_by_runs,Gustatory_by_runs,Haptic_by_runs,Interoceptive_by_runs,Olfactory_by_runs,Visual_by_runs,Foot/leg_mean,Hand/arm_mean,Torso_mean,Head_mean,Mouth/throat_mean,Foot/leg_by_runs,Hand/arm_by_runs,Torso_by_runs,Head_by_runs,Mouth/throat_by_runs
cooker,1.25,0,3.5,0,0.5,3.75,"[0.0, 0.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.0]","[4.0, 4.0, 4.0, 3.0]",0.25,5,0,0,0,"[0.0, 0.0, 0.0, 1.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
cool,0.25,0,3.25,3,0,0.5,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 2.0, 3.0]","[4.0, 3.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.0]",0.5,0.5,0.5,0.75,0.25,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 1.0, 0.0]"
cooperate,1.75,0,0.5,2.25,0,1,"[0.0, 3.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.0]","[0.0, 4.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]",0.75,4,0.75,0.75,0,"[0.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]"
copy,0,0,1,0,0,3.25,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 3.0, 3.0, 3.0]",0,4.5,0,0.75,0,"[0.0, 0.0, 0.0, 0.0]","[5.0, 4.0, 4.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]"
coral,0.25,0,3.75,0.25,0.25,4.75,"[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 4.0, 4.0]","[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[4.0, 5.0, 5.0, 5.0]",0.5,0.5,0,0.5,0,"[0.0, 2.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
cord,0.25,0,4.75,0,0,3,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 2.0, 4.0, 3.0]",0.75,4.5,0,0.25,0,"[0.0, 1.0, 0.0, 2.0]","[5.0, 4.0, 5.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
core,0,0,1.5,0.25,0,2.25,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 3.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 2.0, 1.0]",0.25,2.75,1,0,0,"[0.0, 1.0, 0.0, 0.0]","[0.0, 4.0, 4.0, 3.0]","[0.0, 1.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
cork,1,0.25,3.75,0,2.5,3.25,"[2.0, 0.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 4.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 2.0, 3.0, 2.0]","[3.0, 4.0, 3.0, 3.0]",0.5,4.75,0.25,0.25,0.5,"[0.0, 0.0, 0.0, 2.0]","[5.0, 5.0, 5.0, 4.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 2.0]"
corn,0.75,4,3,0.25,2.25,4.5,"[0.0, 1.0, 1.0, 1.0]","[4.0, 5.0, 4.0, 3.0]","[4.0, 4.0, 4.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[1.0, 4.0, 2.0, 2.0]","[5.0, 4.0, 4.0, 5.0]",0,2.75,0,0,1.25,"[0.0, 0.0, 0.0, 0.0]","[4.0, 0.0, 4.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0]"
corner,0.5,0,2,0,0,4.75,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 4.0, 5.0]",0,1.25,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
cornered,0,0,0,2,0,1.5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 3.0, 3.0, 0.0]",1,0.75,1.25,0.75,0.25,"[1.0, 0.0, 3.0, 0.0]","[1.0, 0.0, 2.0, 0.0]","[3.0, 0.0, 2.0, 0.0]","[1.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 1.0, 0.0]"
corporation,0,0,0,0.25,0,1.25,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 3.0]",0,0.5,0,0.5,0,"[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
corpse,0,0,3.5,1.25,2,4.5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 3.0, 4.0]","[0.0, 0.0, 0.0, 5.0]","[2.0, 3.0, 2.0, 1.0]","[4.0, 5.0, 4.0, 5.0]",0,1.25,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[4.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
corridor,1.25,0,1.5,0,0.25,5,"[1.0, 2.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 2.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[5.0, 5.0, 5.0, 5.0]",2,0.5,0.5,0.25,0,"[0.0, 0.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
corrupt,0.75,0,0,1.75,0,0.5,"[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.0]",0.25,0.25,0.25,0.25,0.25,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
cortex,0.25,0,0,1,0,0.5,"[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 3.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0]",0,0,0,2.5,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]"
cost,0.5,0,0,0,0,1.5,"[0.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 3.0, 2.0]",0,0.5,0,0.25,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
costly,0,0,0,0,0,1.25,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 1.0, 2.0]",0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
costume,0.5,0,4.5,0.5,0.5,5,"[0.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 5.0, 5.0, 4.0]","[0.0, 1.0, 1.0, 0.0]","[0.0, 2.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]",3.25,3.75,4,0.75,0,"[4.0, 4.0, 2.0, 3.0]","[4.0, 4.0, 3.0, 4.0]","[4.0, 4.0, 5.0, 3.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]"
cottage,0,0,1,0,0.5,5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]",0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
cotton,0.25,0.25,4.5,0.25,0.25,2.75,"[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[5.0, 5.0, 5.0, 3.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[5.0, 4.0, 2.0, 0.0]",0.5,4,0.5,0.25,0.25,"[0.0, 0.0, 1.0, 1.0]","[4.0, 5.0, 4.0, 3.0]","[0.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]"
couch,0,0,5,0,0.25,5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]",2.25,2,4.25,0,0,"[3.0, 0.0, 5.0, 1.0]","[3.0, 0.0, 4.0, 1.0]","[5.0, 5.0, 5.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
cough,4.75,0,0,3.5,0.25,1,"[5.0, 4.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 4.0, 3.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 2.0, 2.0]",0,0,1.25,0.25,5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 3.0]","[0.0, 1.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]"
count,2,0,0,0,0,0.75,"[5.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 1.0]",0,5,0,0.5,0,"[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
counter,0,0,3.5,0,0,4.75,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 4.0, 5.0, 5.0]",0.5,3.25,0.5,0,0,"[1.0, 0.0, 0.0, 1.0]","[4.0, 5.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
country,0.75,0,0,0,0.25,3,"[0.0, 3.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[4.0, 4.0, 3.0, 1.0]",0.75,0.75,0.25,0.75,0,"[0.0, 1.0, 0.0, 2.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]"
county,0.5,0,0,0,0,2,"[0.0, 2.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 3.0, 0.0]",0.25,0.25,0.25,0.25,0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
coup,1.5,0,0,0,0,0.75,"[0.0, 2.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0]",0.5,1.25,0.25,0.5,0.25,"[1.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
couple,0.5,0,1.25,0.5,0,4.75,"[0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 3.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 4.0]",0.25,1.75,0.75,0.5,0.25,"[0.0, 1.0, 0.0, 0.0]","[0.0, 4.0, 0.0, 3.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
courage,0,0,0,3.5,0,1,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]",0.5,0.5,0.75,0.75,0,"[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]"
courageous,0.5,0,0,1.25,0,0.5,"[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 1.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 1.0]",0.5,0.5,0.5,1.25,0,"[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0]"
course,0.5,0,0,0,0,1.75,"[0.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 2.0, 0.0]",0.5,0.5,0.25,0.5,0.25,"[0.0, 1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
court,1.5,0,0,0,0,4,"[2.0, 1.0, 2.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 5.0, 3.0]",1,1.25,0.75,1,0.25,"[0.0, 3.0, 0.0, 1.0]","[0.0, 3.0, 0.0, 2.0]","[0.0, 2.0, 0.0, 1.0]","[0.0, 2.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]"
courtship,1.5,0,0,1.25,0,1.75,"[1.0, 0.0, 3.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 3.0, 2.0]",0.5,0.75,0.5,1,0.5,"[0.0, 2.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 1.0]","[0.0, 2.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 2.0]","[0.0, 2.0, 0.0, 0.0]"
courtyard,1.25,0,0.5,0,1,4.75,"[0.0, 2.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 0.0, 2.0]","[4.0, 5.0, 5.0, 5.0]",0.25,0.25,0,0.25,0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
cover,0.5,0,3.25,0,0,3.25,"[1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 1.0, 4.0]",0.5,4.25,0.25,0,0,"[1.0, 0.0, 0.0, 1.0]","[4.0, 5.0, 5.0, 3.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
covert,0,0,0,0,0,0.75,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 2.0, 0.0, 0.0]",0.25,0.25,0.25,0.25,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
cow,2.5,0,1.5,0,2.25,5,"[4.0, 1.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 3.0, 3.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 3.0, 2.0, 4.0]","[5.0, 5.0, 5.0, 5.0]",0.5,0.5,0.25,0.5,0,"[0.0, 1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
coward,1.25,0,0,1.5,0,2.25,"[3.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 2.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 2.0, 2.0]",0,0,0,1.25,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]"
cowardice,0.75,0,0,3.75,0,1,"[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 3.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 3.0]",0,0,0.25,1,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 4.0]","[0.0, 0.0, 0.0, 0.0]"
cowardly,0.75,0,0,2,0,0.5,"[0.0, 0.0, 3.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.0, 0.0]",0.25,0.25,0.25,0.5,0.25,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 1.0]"
cowboy,1.5,0,0.25,0,0,4.5,"[2.0, 0.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 4.0, 4.0]",3,2.5,1.5,1.75,0.25,"[4.0, 0.0, 4.0, 4.0]","[3.0, 0.0, 3.0, 4.0]","[2.0, 0.0, 2.0, 2.0]","[2.0, 0.0, 2.0, 3.0]","[0.0, 0.0, 1.0, 0.0]"
crab,0.5,3,3.75,0,2.25,4.25,"[0.0, 0.0, 1.0, 1.0]","[5.0, 3.0, 0.0, 4.0]","[4.0, 3.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 5.0, 4.0]",2.25,2.25,0,0,0,"[2.0, 0.0, 2.0, 5.0]","[2.0, 0.0, 2.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
cradle,1,0,4.25,0.25,0,4,"[0.0, 0.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 4.0, 4.0, 4.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 4.0, 4.0, 3.0]",0.25,4.75,0,0,0,"[0.0, 0.0, 0.0, 1.0]","[5.0, 4.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
craft,1,0,3.25,0,0,3.75,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 4.0, 4.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 4.0, 4.0, 4.0]",0.25,5,0,0.25,0,"[0.0, 0.0, 0.0, 1.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
cranium,0,0,2.5,0.25,0,3.75,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 4.0, 4.0, 2.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 3.0, 4.0, 4.0]",0,0,0,5,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]"
crank,2.25,0,3.5,0,0,2.75,"[2.0, 2.0, 2.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 3.0, 3.0]",0.5,4.5,0,0,0,"[0.0, 0.0, 0.0, 2.0]","[5.0, 4.0, 5.0, 4.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
crap,0.25,1,0.5,0,4,0.75,"[0.0, 0.0, 0.0, 1.0]","[0.0, 4.0, 0.0, 0.0]","[0.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 3.0, 5.0]","[2.0, 0.0, 0.0, 1.0]",1.25,0,0.25,0,0,"[0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
crash,5,0,0,0,0,1.75,"[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 0.0, 3.0, 0.0]",3.75,3.75,0.75,1.25,0.25,"[5.0, 3.0, 3.0, 4.0]","[5.0, 3.0, 3.0, 4.0]","[0.0, 0.0, 1.0, 2.0]","[0.0, 1.0, 1.0, 3.0]","[0.0, 0.0, 0.0, 1.0]"
crater,0.25,0,0,0,0,4.5,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 5.0, 5.0]",1.25,1.25,0.25,0.5,0,"[0.0, 1.0, 1.0, 3.0]","[0.0, 1.0, 1.0, 3.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
crawl,1.75,0,1.25,0.25,0,3.5,"[1.0, 2.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 3.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 4.0, 4.0]",5,4,1.5,0.25,0,"[5.0, 5.0, 5.0, 5.0]","[5.0, 5.0, 2.0, 4.0]","[0.0, 0.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
